,ABUS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),11.61,45.03,Valuation,0.2578281145902731
Price/Book (MRQ),2.8,12.61,Valuation,0.22204599524187152
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-1.7702000000000002,-4.7459,Profitability,0.37299563834046234
Net Profit Margin (TTM),-1.9134,-4.5467,Profitability,0.42083269184243516
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.2194,-0.0014000000000000002,Gowth rates,156.7142857142857
EPS Growth (TTM),0.47409999999999997,0.027200000000000002,Gowth rates,17.430147058823525
Revenue Growth (MRQ),-0.5821000000000001,1.3963999999999999,Gowth rates,-0.4168576339157835
Revenue Growth (TTM),2.5386,0.9747,Gowth rates,2.6044936903662665
Return On Equity (TTM),-1.2106000000000001,0.1967,Effectiveness,-6.1545500762582614
Return On Assets (TTM),-0.37270000000000003,0.0016,Effectiveness,-232.9375
Return On Investment (TTM),-0.41500000000000004,0.0219,Effectiveness,-18.94977168949772
Revenue Per Employee (TTM),423294.0,1476201.0,Effectiveness,0.2867455041691477
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
