,KAI
Price/Earnings (TTM),18.97288
Price/Sales (TTM),2.53021
Price/Book (MRQ),3.70827
Price/Cash Flow (TTM),14.4564
5yr Low,52.71
5yr High,240.47
5yr Avg Return,0.15073333333333336
EPS Growth 5yr,0.2017509
Revenue Growth 5yr,0.1368992
Dividend Growth 5yr,0.056421599999999995
Short Int Current Month,184096.0
Short Int Prev Month,168878.0
Short Int Pct of Float,0.0160168
Days to Cover,3.41824
Float,11.51675
Shares Outstanding,11.6636
Institutions Holding Shares,239.0
% Held by Institutions,0.9800409999999999
FCF Growth 5yr,0.09072416718221714
