,KAI
% Above Low,0.25379999999999997
% Held by Institutions,0.98
52-Wk Range,['154.19 - 239.85']
Annual Dividend $,1.04
Annual Dividend %,0.0054
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,76.66
Bid Size,
Closing Price,193.32
Day Change $,3.91
Day Change %,0.0206
Day High,193.35
Day Low,189.18
Dividend Pay Date,2023-02-02 00:00:00
"EPS (TTM, GAAP)",10.19
Ex-dividend,2023-01-04 00:00:00
Ex-dividend Date,01/04/23
Historical Volatility,0.337
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.97
Prev Close,189.41
Short Interest,0.016
Today's Open,189.18
Volume,24265.0
Volume 10-day Avg,51021.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.18657718120805367
Growth 1yr High Est,0.19154557463672384
Growth 1yr Consensus Est,0.18906137792238875
Growth 2yr Low Est,0.03898994807009021
Growth 2yr High Est,0.16949784275073443
Growth 2yr Consensus Est,0.10424389541041232
Growth 5yr Low Est,0.1362218512056171
Growth 5yr High Est,0.19764462431229549
Growth 5yr Consensus Est,0.1669332377589563
Growth 5yr Actual/Est,0.16427557263764503
Growth 3yr Historic,0.12470895522388059
Price/Earnings (TTM),18.97288
Price/Sales (TTM),2.53021
Price/Book (MRQ),3.70827
Price/Cash Flow (TTM),14.4564
5yr Low,52.71
5yr High,240.47
5yr Avg Return,0.15073333333333336
EPS Growth 5yr,0.2017509
Revenue Growth 5yr,0.1368992
Dividend Growth 5yr,0.056421599999999995
Short Int Current Month,184096.0
Short Int Prev Month,168878.0
Short Int Pct of Float,0.0160168
Days to Cover,3.41824
Float,11.51675
Shares Outstanding,11.6636
Institutions Holding Shares,239.0
FCF Growth 5yr,0.09072416718221714
"Price/Earnings (TTM, GAAP)",18.97
"PEG Ratio (TTM, GAAP)",2.37
Gross Profit Margin (TTM),0.4289
Operating Profit Margin (TTM),0.1839
Net Profit Margin (TTM),0.1345
Annual Dividend Yield,0.0054
Dividend Change %,0.0417
"Dividend Growth Rate, 3 Years",0.0435
EPS Growth (MRQ),0.0493
EPS Growth (TTM),0.5583
Revenue Growth (MRQ),0.0129
Revenue Growth (TTM),0.21
Return On Equity (TTM),0.207
Return On Assets (TTM),0.107
Return On Investment (TTM),0.13140000000000002
Revenue Per Employee (TTM),307295.0
Total Debt/Total Capital (MRQ),0.256
Change in Debt/Total Capital Quarter over Quarter,-0.0032
Quick Ratio (MRQ),1.15
Interest Coverage (MRQ),27.15
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-06-05 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
