,DOCS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",48.22,-5.17,Valuation,-9.32688588007737
Price/Sales (TTM),15.85,11.27,Valuation,1.4063886424134873
Price/Book (MRQ),6.92,5.79,Valuation,1.1951640759930915
"PEG Ratio (TTM, GAAP)",12.06,0.15,Valuation,80.4
Gross Profit Margin (TTM),0.8722,0.6652,Profitability,1.3111846061334935
Operating Profit Margin (TTM),0.3057,-0.46950000000000003,Profitability,-0.6511182108626198
Net Profit Margin (TTM),0.36700000000000005,-0.4687,Profitability,-0.7830168551312141
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),0.1804,-0.6163000000000001,Gowth rates,-0.29271458705176046
EPS Growth (TTM),1.2353,-0.35350000000000004,Gowth rates,-3.4944837340876944
Revenue Growth (MRQ),0.1274,0.24050000000000002,Gowth rates,0.5297297297297298
Revenue Growth (TTM),0.38549999999999995,0.3728,Gowth rates,1.03406652360515
Return On Equity (TTM),0.17120000000000002,-0.09480000000000001,Effectiveness,-1.8059071729957805
Return On Assets (TTM),0.1487,-0.1218,Effectiveness,-1.2208538587848932
Return On Investment (TTM),0.1675,-0.049,Effectiveness,-3.4183673469387754
Revenue Per Employee (TTM),433318.0,454654.0,Effectiveness,0.9530720064048706
Total Debt/Total Capital (MRQ),0.0,0.2084,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.009000000000000001,Financial strength,
Quick Ratio (MRQ),,0.38,Financial strength,
Interest Coverage (MRQ),,-7.93,Financial strength,
