,DOCS
% Above Low,0.3815
% Held by Institutions,0.9516
52-Wk Range,['22.91 - 68.94']
Annual Dividend $,
Annual Dividend %,
Ask,34.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,25.35
Bid Size,100.0
Closing Price,31.65
Day Change $,-0.74
Day Change %,-0.022799999999999997
Day High,32.24
Day Low,31.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.66
Ex-dividend Date,No dividend
Historical Volatility,0.812
Last (size),24.0
Last (time),5:00p ET 11/25/22
Market Cap,6.1B
"P/E Ratio (TTM, GAAP)",48.22
Prev Close,32.39
Short Interest,0.14730000000000001
Today's Open,32.0
Volume,528632.0
Volume 10-day Avg,3856141.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.07575757575757569
Growth 2yr High Est,0.19178082191780832
Growth 2yr Consensus Est,0.133769198837692
Growth 5yr Low Est,0.07575757575757569
Growth 5yr High Est,0.19178082191780832
Growth 5yr Consensus Est,0.133769198837692
Growth 5yr Actual/Est,0.00044185224460951966
Growth 3yr Historic,0.0
Price/Earnings (TTM),48.22343
Price/Sales (TTM),15.85067
Price/Book (MRQ),6.92448
Price/Cash Flow (TTM),40.93623
5yr Low,22.91
5yr High,107.79
5yr Avg Return,-0.07880000000000001
Short Int Current Month,16309638.0
Short Int Prev Month,17232569.0
Short Int Pct of Float,0.1472629
Days to Cover,3.74321
Float,110.9766
Shares Outstanding,192.4882
Institutions Holding Shares,319.0
FCF Growth 5yr,0.2693140934211369
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",48.22
"PEG Ratio (TTM, GAAP)",12.06
Gross Profit Margin (TTM),0.8722
Operating Profit Margin (TTM),0.3057
Net Profit Margin (TTM),0.36700000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1804
EPS Growth (TTM),1.2353
Revenue Growth (MRQ),0.1274
Revenue Growth (TTM),0.38549999999999995
Return On Equity (TTM),0.17120000000000002
Return On Assets (TTM),0.1487
Return On Investment (TTM),0.1675
Revenue Per Employee (TTM),433318.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-02 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
theStreet since,2022-08-08 00:00:00
newConstructs since,
marketEdge opinion since,
