,TTMI
% Below High,0.1244
% Held by Institutions,0.9782
52-Wk Range,['9.76 - 17.49']
Annual Dividend $,
Annual Dividend %,
Ask,15.33
Ask Size,600.0
B/A Ratio,11.5
B/A Size,6900x600
Beta,1.5
Bid,15.31
Bid Size,6900.0
Closing Price,15.31
Day Change $,-0.38
Day Change %,-0.0242
Day High,15.58
Day Low,15.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.93
Ex-dividend Date,No dividend
Historical Volatility,0.484
Last (size),3.0
Last (time),4:00p ET 11/28/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.81
Prev Close,15.69
Short Interest,0.015300000000000001
Today's Open,15.53
Volume,593142.0
Volume 10-day Avg,379998.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.3902439024390243
Growth 1yr High Est,0.3650793650793651
Growth 1yr Consensus Est,0.3776616337591947
Growth 2yr Low Est,0.13371844244758235
Growth 2yr High Est,0.18835363602805466
Growth 2yr Consensus Est,0.1610360392378185
Growth 5yr Low Est,0.13371844244758235
Growth 5yr High Est,0.18835363602805466
Growth 5yr Consensus Est,0.1610360392378185
Growth 5yr Actual/Est,0.10858151579075381
Growth 3yr Historic,0.03427192276749802
Price/Earnings (TTM),16.81113
Price/Sales (TTM),0.64766
Price/Book (MRQ),1.0533
Price/Cash Flow (TTM),7.0376
5yr Low,8.06
5yr High,19.91
5yr Avg Return,0.015150000000000005
EPS Growth 5yr,0.07930430000000001
Revenue Growth 5yr,-0.0235534
Dividend Growth 5yr,
Short Int Current Month,1457969.0
Short Int Prev Month,1607319.0
Short Int Pct of Float,0.015281499999999998
Days to Cover,2.35795
Float,95.62553
Shares Outstanding,102.2062
Institutions Holding Shares,309.0
FCF Growth 5yr,1.3883221688800462
"Price/Earnings (TTM, GAAP)",16.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1752
Operating Profit Margin (TTM),0.0589
Net Profit Margin (TTM),0.0392
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5587
EPS Growth (TTM),0.18920000000000003
Revenue Growth (MRQ),0.0728
Revenue Growth (TTM),0.1387
Return On Equity (TTM),0.0649
Return On Assets (TTM),0.030600000000000002
Return On Investment (TTM),0.0385
Revenue Per Employee (TTM),153791.0
Total Debt/Total Capital (MRQ),0.3826
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.66
Interest Coverage (MRQ),4.55
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-03-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-19 00:00:00
cfra since,
marketEdge opinion since,
