,TTMI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.81,21.62,Valuation,0.7775208140610544
Price/Sales (TTM),0.65,5.43,Valuation,0.11970534069981585
Price/Book (MRQ),1.05,5.49,Valuation,0.1912568306010929
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.1752,0.33659999999999995,Profitability,0.5204991087344029
Operating Profit Margin (TTM),0.0589,-0.0824,Profitability,-0.7148058252427184
Net Profit Margin (TTM),0.0392,-0.1173,Profitability,-0.3341858482523444
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.5587,0.1058,Gowth rates,5.280718336483932
EPS Growth (TTM),0.18920000000000003,-0.0147,Gowth rates,-12.87074829931973
Revenue Growth (MRQ),0.0728,0.1655,Gowth rates,0.4398791540785498
Revenue Growth (TTM),0.1387,0.1855,Gowth rates,0.7477088948787062
Return On Equity (TTM),0.0649,0.23850000000000002,Effectiveness,0.27211740041928717
Return On Assets (TTM),0.030600000000000002,0.0752,Effectiveness,0.40691489361702127
Return On Investment (TTM),0.0385,0.1041,Effectiveness,0.3698366954851105
Revenue Per Employee (TTM),153791.0,449465.0,Effectiveness,0.3421645734373088
Total Debt/Total Capital (MRQ),0.3826,0.3575,Financial strength,1.0702097902097902
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0362,Financial strength,-0.016574585635359112
Quick Ratio (MRQ),1.66,1.53,Financial strength,1.0849673202614378
Interest Coverage (MRQ),4.55,15.46,Financial strength,0.2943078913324709
