,PDFS,Industry,Type,Ratio to Industry
Total Debt/Total Capital (MRQ),0.0,0.3576,Valuation,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Valuation,
Quick Ratio (MRQ),,2.24,Valuation,
Interest Coverage (MRQ),,15.8,Valuation,
Gross Profit Margin (TTM),0.6535,0.5489,Profitability,1.1905629440699579
Operating Profit Margin (TTM),-0.0659,0.25739999999999996,Profitability,-0.2560217560217561
Net Profit Margin (TTM),-0.0791,0.2224,Profitability,-0.35566546762589935
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),2.1750000000000003,1.5356,Gowth rates,1.4163844751237302
EPS Growth (TTM),0.7754000000000001,0.2274,Gowth rates,3.4098504837291124
Revenue Growth (MRQ),0.14980000000000002,0.1335,Gowth rates,1.1220973782771537
Revenue Growth (TTM),0.3319,0.24170000000000003,Gowth rates,1.3731899048407115
Return On Equity (TTM),-0.0512,0.36920000000000003,Effectiveness,-0.13867822318526543
Return On Assets (TTM),-0.0403,0.16010000000000002,Effectiveness,-0.2517176764522173
Return On Investment (TTM),-0.0488,0.1925,Effectiveness,-0.2535064935064935
Revenue Per Employee (TTM),338850.0,898550.0,Effectiveness,0.3771075621835179
Total Debt/Total Capital (MRQ),0.0,0.3576,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,2.24,Financial strength,
Interest Coverage (MRQ),,15.8,Financial strength,
