,PDFS
% Below High,0.083
% Held by Institutions,0.7051000000000001
52-Wk Range,['19.34 - 33.01']
Annual Dividend $,
Annual Dividend %,
Ask,30.29
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,30.19
Bid Size,100.0
Day Change $,0.03
Day Change %,0.001
Day High,30.31
Day Low,29.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.29
Ex-dividend Date,No dividend
Historical Volatility,0.49100000000000005
Last (size),100.0
Last (time),10:20a ET 11/28/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,30.24
Price,30.27
Short Interest,0.0128
Today's Open,30.14
Volume Past Day,(Light)
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
Gross Profit Margin (TTM),0.6535
Operating Profit Margin (TTM),-0.0659
Net Profit Margin (TTM),-0.0791
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.1750000000000003
EPS Growth (TTM),0.7754000000000001
Revenue Growth (MRQ),0.14980000000000002
Revenue Growth (TTM),0.3319
Return On Equity (TTM),-0.0512
Return On Assets (TTM),-0.0403
Return On Investment (TTM),-0.0488
Revenue Per Employee (TTM),338850.0
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-05-17 00:00:00
theStreet since,2022-05-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
marketEdge opinion since,
