,BIG
% Above Low,0.2559
% Held by Institutions,1.0476
52-Wk Range,['15.16 - 50.87']
Annual Dividend $,1.2
Annual Dividend %,0.063
Ask,19.4
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,2.0
Bid,18.75
Bid Size,100.0
Closing Price,19.04
Day Change $,-0.78
Day Change %,-0.0394
Day High,19.77
Day Low,19.0
Dividend Pay Date,2022-09-23 00:00:00
"EPS (TTM, GAAP)",-1.8
Ex-dividend,2022-09-08 00:00:00
Ex-dividend Date,09/08/22
Historical Volatility,0.7120000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,550.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,19.82
Short Interest,0.2788
Today's Open,19.77
Volume,449635.0
Volume 10-day Avg,904065.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-2.022304832713755
Growth 1yr High Est,-1.5954063604240283
Growth 1yr Consensus Est,-1.8088555965688915
Growth 2yr Low Est,-1.2611524163568775
Growth 2yr High Est,-1.8095726164137944
Growth 2yr Consensus Est,-1.535362516385336
Growth 5yr Low Est,-0.4608455082641184
Growth 5yr High Est,-0.7172326140488217
Growth 5yr Consensus Est,-0.58903906115647
Growth 5yr Actual/Est,-0.5836023829437124
Growth 3yr Historic,0.18571521251552398
Price/Earnings (TTM),
Price/Sales (TTM),0.0952
Price/Book (MRQ),0.61844
Price/Cash Flow (TTM),5.53979
5yr Low,10.13
5yr High,73.23
5yr Avg Return,-0.08546666666666665
EPS Growth 5yr,0.0990192
Revenue Growth 5yr,0.0343874
Dividend Growth 5yr,0.0310241
Short Int Current Month,7786700.0
Short Int Prev Month,7763646.0
Short Int Pct of Float,0.278843
Days to Cover,9.4198
Float,28.1588
Shares Outstanding,28.94189
Institutions Holding Shares,254.0
FCF Growth 5yr,-3.347173866322803
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3642
Operating Profit Margin (TTM),-0.0102
Net Profit Margin (TTM),-0.0086
Annual Dividend Yield,0.063
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-6.5151
EPS Growth (TTM),-1.2552
Revenue Growth (MRQ),-0.0207
Revenue Growth (TTM),-0.06620000000000001
Return On Equity (TTM),-0.0487
Return On Assets (TTM),-0.013000000000000001
Return On Investment (TTM),-0.0172
Revenue Per Employee (TTM),551296.0
Total Debt/Total Capital (MRQ),0.2209
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.17
Interest Coverage (MRQ),-27.94
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-06-01 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-20 00:00:00
