,ALK
% Above Low,0.22820000000000001
% Held by Institutions,0.7768999999999999
52-Wk Range,['38.19 - 61.55']
Annual Dividend $,
Annual Dividend %,
Ask,49.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,44.0
Bid Size,100.0
Closing Price,46.9
Day Change $,0.56
Day Change %,0.0121
Day High,47.22
Day Low,46.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.424
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,5.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",158.75
Prev Close,46.34
Short Interest,0.0248
Today's Open,46.25
Volume,484320.0
Volume 10-day Avg,1086566.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-2.762114537444934
Growth 1yr High Est,-3.5474860335195526
Growth 1yr Consensus Est,-3.154800285482243
Growth 2yr Low Est,-1.506057268722467
Growth 2yr High Est,-1.5741816132510045
Growth 2yr Consensus Est,-1.5401194409867358
Growth 5yr Low Est,-1.6464448958045137
Growth 5yr High Est,-1.628106219335624
Growth 5yr Consensus Est,-1.6372755575700686
Growth 5yr Actual/Est,-1.6061801051641744
Growth 3yr Historic,-0.8461263658000899
Price/Earnings (TTM),158.7463
Price/Sales (TTM),0.65615
Price/Book (MRQ),1.55476
Price/Cash Flow (TTM),13.21932
5yr Low,20.02
5yr High,76.06
5yr Avg Return,-0.04583333333333332
EPS Growth 5yr,-0.1059503
Revenue Growth 5yr,0.0083325
Dividend Growth 5yr,
Short Int Current Month,3133337.0
Short Int Prev Month,2786237.0
Short Int Pct of Float,0.0248057
Days to Cover,2.31596
Float,126.3572
Shares Outstanding,126.8378
Institutions Holding Shares,668.0
FCF Growth 5yr,-100.91245460198719
"Price/Earnings (TTM, GAAP)",158.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5152
Operating Profit Margin (TTM),0.0095
Net Profit Margin (TTM),0.0044
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7134999999999999
EPS Growth (TTM),139.70420000000001
Revenue Growth (MRQ),0.064
Revenue Growth (TTM),0.7829
Return On Equity (TTM),0.010900000000000002
Return On Assets (TTM),0.0028000000000000004
Return On Investment (TTM),0.0040999999999999995
Revenue Per Employee (TTM),441168.0
Total Debt/Total Capital (MRQ),0.3661
Change in Debt/Total Capital Quarter over Quarter,-0.002
Quick Ratio (MRQ),0.79
Interest Coverage (MRQ),27.91
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2021-07-23 00:00:00
ford since,2022-03-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-07-02 00:00:00
