,ALK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",158.75,-34.24,Valuation,-4.636390186915888
Price/Sales (TTM),0.66,0.63,Valuation,1.0476190476190477
Price/Book (MRQ),1.55,2.71,Valuation,0.5719557195571956
"PEG Ratio (TTM, GAAP)",,-0.02,Valuation,
Gross Profit Margin (TTM),0.5152,0.5245000000000001,Profitability,0.9822688274547187
Operating Profit Margin (TTM),0.0095,0.029500000000000002,Profitability,0.3220338983050847
Net Profit Margin (TTM),0.0044,0.003,Profitability,1.4666666666666668
Annual Dividend Yield,,,Dividend,
Dividend Change %,,-0.2447,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),-0.7134999999999999,0.541,Gowth rates,-1.318853974121996
EPS Growth (TTM),139.70420000000001,16.999000000000002,Gowth rates,8.218377551620684
Revenue Growth (MRQ),0.064,0.46299999999999997,Gowth rates,0.13822894168466524
Revenue Growth (TTM),0.7829,0.8456999999999999,Gowth rates,0.9257419888849475
Return On Equity (TTM),0.010900000000000002,-0.010900000000000002,Effectiveness,-1.0
Return On Assets (TTM),0.0028000000000000004,-0.002,Effectiveness,-1.4000000000000001
Return On Investment (TTM),0.0040999999999999995,-0.0021,Effectiveness,-1.9523809523809523
Revenue Per Employee (TTM),441168.0,453436.0,Effectiveness,0.9729443626002346
Total Debt/Total Capital (MRQ),0.3661,0.6829000000000001,Financial strength,0.5360960609166788
Change in Debt/Total Capital Quarter over Quarter,-0.002,-0.0014000000000000002,Financial strength,1.4285714285714284
Quick Ratio (MRQ),0.79,0.87,Financial strength,0.9080459770114943
Interest Coverage (MRQ),27.91,23.47,Financial strength,1.1891776736259054
