,THO
% Above Low,0.2923
% Held by Institutions,0.9833
52-Wk Range,['66.26 - 110.99']
Annual Dividend $,1.8
Annual Dividend %,0.0208
Ask,86.21
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,78.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,85.63
Day Change $,-0.87
Day Change %,-0.0101
Day High,86.66
Day Low,85.03
Dividend Pay Date,2022-11-09 00:00:00
"EPS (TTM, GAAP)",20.6
Ex-dividend,2022-10-25 00:00:00
Ex-dividend Date,10/25/22
Historical Volatility,0.494
Last (size),925.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,4.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.2
Prev Close,86.5
Short Interest,0.1531
Today's Open,85.38
Volume,573721.0
Volume 10-day Avg,623284.0
Volume Past Day,(Average)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.08766233766233777
Growth 2yr High Est,0.001846722068328699
Growth 2yr Consensus Est,0.04475452986533324
Growth 5yr Low Est,0.08766233766233777
Growth 5yr High Est,0.001846722068328699
Growth 5yr Consensus Est,0.04475452986533324
Growth 5yr Actual/Est,0.5076447419048891
Growth 3yr Historic,0.6482436073407554
Price/Earnings (TTM),4.19821
Price/Sales (TTM),0.28466
Price/Book (MRQ),1.2923
Price/Cash Flow (TTM),3.26389
5yr Low,32.3
5yr High,161.48
5yr Avg Return,-0.012616666666666665
EPS Growth 5yr,0.23751370000000002
Revenue Growth 5yr,0.1761783
Dividend Growth 5yr,0.056749
Short Int Current Month,7841911.0
Short Int Prev Month,8067414.0
Short Int Pct of Float,0.153136
Days to Cover,11.65785
Float,51.2088
Shares Outstanding,53.6824
Institutions Holding Shares,517.0
FCF Growth 5yr,-59.60128083115236
"Price/Earnings (TTM, GAAP)",4.2
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.172
Operating Profit Margin (TTM),0.0895
Net Profit Margin (TTM),0.0698
Annual Dividend Yield,0.020800000000000003
Dividend Change %,0.0429
"Dividend Growth Rate, 3 Years",0.0335
EPS Growth (MRQ),-0.18489999999999998
EPS Growth (TTM),0.74
Revenue Growth (MRQ),-0.1794
Revenue Growth (TTM),0.32439999999999997
Return On Equity (TTM),0.3493
Return On Assets (TTM),0.16190000000000002
Return On Investment (TTM),0.21730000000000002
Revenue Per Employee (TTM),509766.0
Total Debt/Total Capital (MRQ),0.3325
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.74
Interest Coverage (MRQ),15.99
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-06-28 00:00:00
theStreet since,2021-03-18 00:00:00
cfra since,2022-06-28 00:00:00
ford since,2022-09-30 00:00:00
marketEdge opinion since,
