,ZTS
% Above Low,0.1932
% Held by Institutions,0.9115000000000001
52-Wk Range,['124.15 - 249.27']
Annual Dividend $,1.3
Annual Dividend %,0.0087
Ask,155.63
Ask Size,800.0
B/A Ratio,1.75
B/A Size,1400x800
Beta,0.7
Bid,143.05
Bid Size,1400.0
Closing Price,148.13
Day Change $,-1.97
Day Change %,-0.0131
Day High,149.98
Day Low,147.82
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.38
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.317
Last (size),10.0
Last (time),7:00p ET 11/28/22
Market Cap,69.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",34.31
Prev Close,150.1
Short Interest,0.0087
Today's Open,149.46
Volume,1633281.0
Volume 10-day Avg,2245113.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.04112554112554112
Growth 1yr High Est,0.04883227176220806
Growth 1yr Consensus Est,0.04497890644387459
Growth 2yr Low Est,0.0444712944712945
Growth 2yr High Est,0.09222990106329021
Growth 2yr Consensus Est,0.06835059776729235
Growth 5yr Low Est,0.09249708514414401
Growth 5yr High Est,0.11660565434480324
Growth 5yr Consensus Est,0.10455136974447363
Growth 5yr Actual/Est,0.10583169446528357
Growth 3yr Historic,0.06961788211788211
Price/Earnings (TTM),34.30708
Price/Sales (TTM),8.73703
Price/Book (MRQ),15.01457
Price/Cash Flow (TTM),27.68398
5yr Low,70.2
5yr High,249.27
5yr Avg Return,0.18048333333333336
EPS Growth 5yr,0.2099367
Revenue Growth 5yr,0.0972991
Dividend Growth 5yr,0.2072218
Short Int Current Month,4041806.0
Short Int Prev Month,4264101.0
Short Int Pct of Float,0.0086948
Days to Cover,1.08693
Float,464.8715
Shares Outstanding,466.072
Institutions Holding Shares,2015.0
FCF Growth 5yr,0.35329419845756727
"Price/Earnings (TTM, GAAP)",33.86
"PEG Ratio (TTM, GAAP)",3.36
Gross Profit Margin (TTM),0.7019
Operating Profit Margin (TTM),0.321
Net Profit Margin (TTM),0.25780000000000003
Annual Dividend Yield,0.0088
Dividend Change %,0.25
"Dividend Growth Rate, 3 Years",0.2566
EPS Growth (MRQ),0.0051
EPS Growth (TTM),0.0538
Revenue Growth (MRQ),-0.0244
Revenue Growth (TTM),0.0513
Return On Equity (TTM),0.4425
Return On Assets (TTM),0.15080000000000002
Return On Investment (TTM),0.1793
Revenue Per Employee (TTM),661736.0
Total Debt/Total Capital (MRQ),0.5847
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.48
Interest Coverage (MRQ),14.22
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-03-29 00:00:00
theStreet since,2015-12-07 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-10 00:00:00
ford since,2022-04-08 00:00:00
marketEdge opinion since,
