,ZTS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",33.86,26.92,Valuation,1.2578008915304606
Price/Sales (TTM),8.62,18.11,Valuation,0.47598012147984536
Price/Book (MRQ),14.82,11.51,Valuation,1.2875760208514335
"PEG Ratio (TTM, GAAP)",3.36,0.46,Valuation,7.304347826086956
Gross Profit Margin (TTM),0.7019,0.6773,Profitability,1.0363206850730842
Operating Profit Margin (TTM),0.321,-0.8239000000000001,Profitability,-0.3896103896103896
Net Profit Margin (TTM),0.25780000000000003,-0.8640000000000001,Profitability,-0.2983796296296296
Annual Dividend Yield,0.0088,0.0217,Dividend,0.4055299539170507
Dividend Change %,0.25,0.0947,Dividend,2.6399155227032733
"Dividend Growth Rate, 3 Years",0.2566,0.084,Dividend,3.0547619047619046
EPS Growth (MRQ),0.0051,0.0883,Gowth rates,0.057757644394110984
EPS Growth (TTM),0.0538,0.5870000000000001,Gowth rates,0.09165247018739352
Revenue Growth (MRQ),-0.0244,0.0441,Gowth rates,-0.5532879818594104
Revenue Growth (TTM),0.0513,0.1761,Gowth rates,0.29131175468483816
Return On Equity (TTM),0.4425,0.30160000000000003,Effectiveness,1.4671750663129972
Return On Assets (TTM),0.15080000000000002,0.092,Effectiveness,1.639130434782609
Return On Investment (TTM),0.1793,0.13820000000000002,Effectiveness,1.29739507959479
Revenue Per Employee (TTM),661736.0,1425813.0,Effectiveness,0.4641113526107561
Total Debt/Total Capital (MRQ),0.5847,0.4169,Financial strength,1.4024946030223076
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0,Financial strength,
Quick Ratio (MRQ),1.48,1.22,Financial strength,1.2131147540983607
Interest Coverage (MRQ),14.22,26.08,Financial strength,0.5452453987730062
