,CPE
% Above Low,0.35729999999999995
% Held by Institutions,0.8362999999999999
52-Wk Range,['31.23 - 66.48']
Annual Dividend $,
Annual Dividend %,
Ask,44.88
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,2.7
Bid,42.0
Bid Size,1000.0
Closing Price,42.39
Day Change $,0.21
Day Change %,0.005
Day High,43.1
Day Low,42.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",19.91
Ex-dividend Date,No dividend
Historical Volatility,0.7320000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",2.13
Prev Close,42.18
Short Interest,0.109
Today's Open,42.52
Volume,280478.0
Volume 10-day Avg,1207045.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.7904993909866014
Growth 1yr High Est,0.57633973710819
Growth 1yr Consensus Est,0.6834195640473957
Growth 2yr Low Est,0.3105558179422803
Growth 2yr High Est,0.38085748882349846
Growth 2yr Consensus Est,0.3457066533828894
Growth 5yr Low Est,0.3105558179422803
Growth 5yr High Est,0.38085748882349846
Growth 5yr Consensus Est,0.3457066533828894
Growth 5yr Actual/Est,0.5462248268054397
Growth 3yr Historic,0.3536943319838056
Price/Earnings (TTM),2.12913
Price/Sales (TTM),0.81133
Price/Book (MRQ),0.9297
Price/Cash Flow (TTM),1.56698
5yr Low,3.8
5yr High,146.5
5yr Avg Return,0.1895
EPS Growth 5yr,
Revenue Growth 5yr,0.5906152
Dividend Growth 5yr,
Short Int Current Month,6579867.0
Short Int Prev Month,6597889.0
Short Int Pct of Float,0.10896549999999999
Days to Cover,3.76659
Float,60.38485
Shares Outstanding,61.60852
Institutions Holding Shares,278.0
FCF Growth 5yr,0.5881734006734006
"Price/Earnings (TTM, GAAP)",2.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7238
Operating Profit Margin (TTM),0.508
Net Profit Margin (TTM),0.37979999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5803
EPS Growth (TTM),2.7207
Revenue Growth (MRQ),-0.0851
Revenue Growth (TTM),0.9536
Return On Equity (TTM),0.6535
Return On Assets (TTM),0.2267
Return On Investment (TTM),0.2668
Revenue Per Employee (TTM),9996593.0
Total Debt/Total Capital (MRQ),0.45799999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-08-12 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-11-04 00:00:00
