,CAT
% Below High,0.0173
% Held by Institutions,0.6811
52-Wk Range,['160.60 - 239.85']
Annual Dividend $,4.8
Annual Dividend %,0.0204
Ask,236.0
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.1
Bid,235.4
Bid Size,400.0
Closing Price,235.7
Day Change $,-1.22
Day Change %,-0.0051
Day High,237.49
Day Low,235.19
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",13.69
Ex-dividend,2022-10-21 00:00:00
Ex-dividend Date,10/21/22
Historical Volatility,0.33799999999999997
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,122.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.22
Prev Close,236.92
Short Interest,0.0154
Today's Open,237.0
Volume,1034795.0
Volume 10-day Avg,2940527.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.347962382445141
Growth 1yr High Est,0.3629560336763331
Growth 1yr Consensus Est,0.35545920806073705
Growth 2yr Low Est,0.12746956331559373
Growth 2yr High Est,0.26555488711956665
Growth 2yr Consensus Est,0.1965122252175802
Growth 5yr Low Est,0.03859380421418784
Growth 5yr High Est,0.12573198901432878
Growth 5yr Consensus Est,0.08216289661425831
Growth 5yr Actual/Est,0.1512773194662009
Growth 3yr Historic,0.0602485610638204
Price/Earnings (TTM),17.2154
Price/Sales (TTM),2.16607
Price/Book (MRQ),7.86739
Price/Cash Flow (TTM),12.81183
5yr Low,87.5
5yr High,246.69
5yr Avg Return,0.10458333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0575211
Dividend Growth 5yr,0.0680181
Short Int Current Month,7999147.0
Short Int Prev Month,6199217.0
Short Int Pct of Float,0.015403199999999999
Days to Cover,2.06997
Float,519.2819
Shares Outstanding,520.4094
Institutions Holding Shares,2509.0
FCF Growth 5yr,-1.3624816527484331
"Price/Earnings (TTM, GAAP)",17.22
"PEG Ratio (TTM, GAAP)",1.33
Gross Profit Margin (TTM),0.2992
Operating Profit Margin (TTM),0.1384
Net Profit Margin (TTM),0.1294
Annual Dividend Yield,0.0204
Dividend Change %,0.0388
"Dividend Growth Rate, 3 Years",0.0928
EPS Growth (MRQ),0.23500000000000001
EPS Growth (TTM),0.4868
Revenue Growth (MRQ),0.0524
Revenue Growth (TTM),0.1698
Return On Equity (TTM),0.4548
Return On Assets (TTM),0.0906
Return On Investment (TTM),0.139
Revenue Per Employee (TTM),525794.0
Total Debt/Total Capital (MRQ),0.7004
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.85
Interest Coverage (MRQ),35.47
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-06-14 00:00:00
cfra since,2022-04-28 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2018-04-25 00:00:00
