,CAT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.22,24.01,Valuation,0.7172011661807579
Price/Sales (TTM),2.17,3.06,Valuation,0.7091503267973855
Price/Book (MRQ),7.87,7.44,Valuation,1.0577956989247312
"PEG Ratio (TTM, GAAP)",1.33,1.49,Valuation,0.8926174496644296
Gross Profit Margin (TTM),0.2992,0.32799999999999996,Profitability,0.9121951219512197
Operating Profit Margin (TTM),0.1384,0.0198,Profitability,6.989898989898989
Net Profit Margin (TTM),0.1294,-0.0086,Profitability,-15.046511627906975
Annual Dividend Yield,0.0204,0.0143,Dividend,1.4265734265734267
Dividend Change %,0.0388,0.1666,Dividend,0.23289315726290516
"Dividend Growth Rate, 3 Years",0.0928,0.0885,Dividend,1.048587570621469
EPS Growth (MRQ),0.23500000000000001,0.3518,Gowth rates,0.6679931779420125
EPS Growth (TTM),0.4868,0.16149999999999998,Gowth rates,3.014241486068112
Revenue Growth (MRQ),0.0524,0.196,Gowth rates,0.2673469387755102
Revenue Growth (TTM),0.1698,0.1475,Gowth rates,1.1511864406779662
Return On Equity (TTM),0.4548,0.2859,Effectiveness,1.5907660020986358
Return On Assets (TTM),0.0906,0.0851,Effectiveness,1.064629847238543
Return On Investment (TTM),0.139,0.12490000000000001,Effectiveness,1.1128903122498
Revenue Per Employee (TTM),525794.0,343373.0,Effectiveness,1.531261922166274
Total Debt/Total Capital (MRQ),0.7004,0.6352000000000001,Financial strength,1.1026448362720402
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0189,Financial strength,-0.005291005291005292
Quick Ratio (MRQ),0.85,1.07,Financial strength,0.794392523364486
Interest Coverage (MRQ),35.47,20.9,Financial strength,1.6971291866028708
