,FORM
% Above Low,0.25730000000000003
% Held by Institutions,0.9567
52-Wk Range,['18.15 - 47.48']
Annual Dividend $,
Annual Dividend %,
Ask,23.12
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.2
Bid,22.52
Bid Size,600.0
Closing Price,22.82
Day Change $,0.02
Day Change %,0.0009
Day High,23.11
Day Low,22.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.14
Ex-dividend Date,No dividend
Historical Volatility,0.603
Last (size),37.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.99
Prev Close,22.8
Short Interest,0.0337
Today's Open,22.54
Volume,291485.0
Volume 10-day Avg,507859.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.2142857142857143
Growth 1yr High Est,-0.2165605095541402
Growth 1yr Consensus Est,-0.21542311191992725
Growth 2yr Low Est,-0.34268004722550177
Growth 2yr High Est,-0.1611257832323546
Growth 2yr Consensus Est,-0.25190291522892816
Growth 5yr Low Est,-0.2028123391759755
Growth 5yr High Est,-0.08230303357042816
Growth 5yr Consensus Est,-0.14255768637320182
Growth 5yr Actual/Est,-0.01314253300280624
Growth 3yr Historic,0.12495160041300984
Price/Earnings (TTM),19.98809
Price/Sales (TTM),2.23358
Price/Book (MRQ),2.18135
Price/Cash Flow (TTM),13.78512
5yr Low,11.1
5yr High,52.39
5yr Avg Return,0.15116666666666662
EPS Growth 5yr,
Revenue Growth 5yr,0.1492699
Dividend Growth 5yr,
Short Int Current Month,2564517.0
Short Int Prev Month,2751457.0
Short Int Pct of Float,0.0336847
Days to Cover,3.50744
Float,76.31269
Shares Outstanding,77.0251
Institutions Holding Shares,305.0
FCF Growth 5yr,0.21597498901473747
"Price/Earnings (TTM, GAAP)",19.99
"PEG Ratio (TTM, GAAP)",1.0
Gross Profit Margin (TTM),0.441
Operating Profit Margin (TTM),0.1304
Net Profit Margin (TTM),0.11480000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8533
EPS Growth (TTM),0.1773
Revenue Growth (MRQ),-0.113
Revenue Growth (TTM),0.033100000000000004
Return On Equity (TTM),0.1133
Return On Assets (TTM),0.0891
Return On Investment (TTM),0.106
Revenue Per Employee (TTM),343196.0
Total Debt/Total Capital (MRQ),0.0211
Change in Debt/Total Capital Quarter over Quarter,-0.0036
Quick Ratio (MRQ),2.35
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-09-23 00:00:00
researchTeam since,2022-09-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
