,KOD
% Above Low,0.5388000000000001
% Held by Institutions,0.8001
52-Wk Range,['4.90 - 100.17']
Annual Dividend $,
Annual Dividend %,
Ask,7.74
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.8
Bid,7.31
Bid Size,300.0
Closing Price,7.54
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.84
Ex-dividend Date,No dividend
Historical Volatility,1.8019999999999998
Last (size),250.0
Last (time),1:00p ET 11/25/22
Market Cap,394.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.54
Short Interest,0.055099999999999996
Today's Open,
Volume,75340.0
Volume 10-day Avg,290559.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.07288629737609331
Growth 2yr High Est,-0.4456692913385827
Growth 2yr Consensus Est,-0.1863914969812447
Growth 5yr Low Est,0.07288629737609331
Growth 5yr High Est,-0.4456692913385827
Growth 5yr Consensus Est,-0.1863914969812447
Growth 5yr Actual/Est,0.5540391021647989
Growth 3yr Historic,0.525298969072165
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.82242
Price/Cash Flow (TTM),
5yr Low,4.9
5yr High,171.21
5yr Avg Return,1.7168800000000002
Short Int Current Month,2715567.0
Short Int Prev Month,3036799.0
Short Int Pct of Float,0.055052000000000004
Days to Cover,7.63044
Float,49.32727
Shares Outstanding,52.30915
Institutions Holding Shares,206.0
FCF Growth 5yr,0.29167841006248507
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.15109999999999998
EPS Growth (TTM),-0.5778
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.5914
Return On Assets (TTM),-0.4239
Return On Investment (TTM),-0.4565
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-10-14 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
