,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.1,81.0,159.18,171.21,90.24,,,,,
low,5.65,5.86,35.49,73.19,4.9,,,,,
change,-0.29,9.1912,1.0169,-0.4218,-0.9119,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,732.0,672.0,173.0,178.0,Balance Sheet
Short Term Investments,,,,,,0.0,,425.0,359.0,Balance Sheet
Cash and Short Term Invs,,,,,,732.0,672.0,598.0,537.0,Balance Sheet
Prepaid Expenses,,,,,,3.0,10.0,6.0,7.0,Balance Sheet
Total Current Assets,,,,,,735.0,682.0,604.0,545.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,108.0,114.0,118.0,117.0,Balance Sheet
Long Term Investments,,,,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,,,,55.0,48.0,54.0,56.0,Balance Sheet
Total Assets,,,,,,904.0,850.0,782.0,724.0,Balance Sheet
Accounts Payable,,,,,,12.0,13.0,21.0,16.0,Balance Sheet
Accrued Expenses,,,,,,52.0,63.0,49.0,50.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,,,,65.0,76.0,70.0,66.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,176.0,177.0,181.0,179.0,Balance Sheet
Total Liabilities,,,,,,241.0,253.0,251.0,244.0,Balance Sheet
Redeemable Preferred Stock,,,,,,0.0,,,,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,1222.0,1251.0,1277.0,1304.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-558.0,-654.0,-745.0,-822.0,Balance Sheet
"Other Equity, Total",,,,,,0.0,,-2.0,-3.0,Balance Sheet
Total Equity,,,,,,663.0,597.0,531.0,480.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,904.0,850.0,782.0,724.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,52.0,52.0,52.0,52.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,0.0,0.0,0.0,0.0,Income Statement
Selling/Gen/Admin Expense,,,,,,5095.0,7470.0,6455.0,6567.0,Income Statement
Labor & Related Expense,,,,,,12357.0,12120.0,11869.0,11235.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,17452.0,19590.0,18324.0,17802.0,Income Statement
Research & Development,,,,,,75597.0,76177.0,73744.0,61676.0,Income Statement
Total Operating Expense,,,,,,93049.0,95767.0,92068.0,79478.0,Income Statement
Total Operating Income,,,,,,-93049.0,-95767.0,-92068.0,-79478.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-5.0,-5.0,-5.0,-4.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,28.0,76.0,1135.0,2028.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-139.0,-13.0,310.0,416.0,Income Statement
"Other, Net",,,,,,-139.0,-13.0,310.0,416.0,Income Statement
Income Before Tax,,,,,,-93165.0,-95709.0,-90628.0,-77038.0,Income Statement
Income After Tax,,,,,,-93165.0,-95709.0,-90628.0,-77038.0,Income Statement
Net Inc Before Extra Items,,,,,,-93165.0,-95709.0,-90628.0,-77038.0,Income Statement
Total Net Income,,,,,,-93165.0,-95709.0,-90628.0,-77038.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-93165.0,-95709.0,-90628.0,-77038.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-93165.0,-95709.0,-90628.0,-77038.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,51988.0,52173.0,52219.0,52288.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-1.79,-1.83,-1.74,-1.47,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-1.79,-1.83,-1.74,-1.47,Income Statement
Diluted Weighted Average Shares,,,,,,51988.0,52173.0,52219.0,52288.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-1.79,-1.83,-1.74,-1.47,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-1.79,-1.83,-1.74,-1.47,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,5.0,5.0,5.0,4.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,281.0,298.0,777.0,1159.0,Income Statement
