,EME
% Below High,0.008100000000000001
% Held by Institutions,0.9426000000000001
52-Wk Range,['95.64 - 156.67']
Annual Dividend $,0.6
Annual Dividend %,0.0039000000000000003
Ask,156.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,153.5
Bid Size,100.0
Closing Price,155.4
Day Change $,1.81
Day Change %,0.0118
Day High,155.95
Day Low,154.28
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",7.42
Ex-dividend,2022-10-17 00:00:00
Ex-dividend Date,10/17/22
Historical Volatility,0.28300000000000003
Last (size),23.0
Last (time),5:00p ET 11/25/22
Market Cap,7.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.94
Prev Close,153.59
Short Interest,0.0197
Today's Open,154.28
Volume,118979.0
Volume 10-day Avg,411365.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.1119081779053086
Growth 1yr High Est,0.09090909090909083
Growth 1yr Consensus Est,0.10140863440719972
Growth 2yr Low Est,0.1327282825010414
Growth 2yr High Est,0.14609557109557103
Growth 2yr Consensus Est,0.13941192679830622
Growth 5yr Low Est,0.12206589563648562
Growth 5yr High Est,0.13391735076517686
Growth 5yr Consensus Est,0.12799162320083124
Growth 5yr Actual/Est,0.12262005606100085
Growth 3yr Historic,0.05404211956521737
Price/Earnings (TTM),20.94024
Price/Sales (TTM),0.68784
Price/Book (MRQ),4.02035
Price/Cash Flow (TTM),15.10391
5yr Low,41.85
5yr High,156.67
5yr Avg Return,0.14853333333333332
EPS Growth 5yr,0.1847147
Revenue Growth 5yr,0.0557267
Dividend Growth 5yr,0.10197229999999999
Short Int Current Month,925106.0
Short Int Prev Month,1011436.0
Short Int Pct of Float,0.01974
Days to Cover,2.30441
Float,45.16652
Shares Outstanding,47.65525
Institutions Holding Shares,508.0
FCF Growth 5yr,-2.3934942699008057
"Price/Earnings (TTM, GAAP)",20.94
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1441
Operating Profit Margin (TTM),0.0493
Net Profit Margin (TTM),0.0354
Annual Dividend Yield,0.0039000000000000003
Dividend Change %,0.625
"Dividend Growth Rate, 3 Years",0.1757
EPS Growth (MRQ),0.08630000000000002
EPS Growth (TTM),0.1219
Revenue Growth (MRQ),0.043899999999999995
Revenue Growth (TTM),0.128
Return On Equity (TTM),0.1916
Return On Assets (TTM),0.07110000000000001
Return On Investment (TTM),0.1305
Revenue Per Employee (TTM),316662.0
Total Debt/Total Capital (MRQ),0.1895
Change in Debt/Total Capital Quarter over Quarter,0.005200000000000001
Quick Ratio (MRQ),1.24
Interest Coverage (MRQ),46.99
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-09 00:00:00
ford since,2022-09-09 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-04 00:00:00
