,EME,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.94,41.93,Valuation,0.4994037681850704
Price/Sales (TTM),0.69,1.42,Valuation,0.48591549295774644
Price/Book (MRQ),4.02,3.73,Valuation,1.0777479892761392
"PEG Ratio (TTM, GAAP)",,0.71,Valuation,
Gross Profit Margin (TTM),0.1441,0.0432,Profitability,3.335648148148148
Operating Profit Margin (TTM),0.0493,0.0655,Profitability,0.7526717557251907
Net Profit Margin (TTM),0.0354,0.041299999999999996,Profitability,0.8571428571428572
Annual Dividend Yield,0.0039000000000000003,0.0045000000000000005,Dividend,0.8666666666666666
Dividend Change %,0.625,0.127,Dividend,4.921259842519685
"Dividend Growth Rate, 3 Years",0.1757,0.0315,Dividend,5.5777777777777775
EPS Growth (MRQ),0.08630000000000002,0.0989,Gowth rates,0.872598584428716
EPS Growth (TTM),0.1219,0.5874,Gowth rates,0.2075246850527749
Revenue Growth (MRQ),0.043899999999999995,0.233,Gowth rates,0.18841201716738193
Revenue Growth (TTM),0.128,0.2229,Gowth rates,0.5742485419470615
Return On Equity (TTM),0.1916,0.1057,Effectiveness,1.8126773888363292
Return On Assets (TTM),0.07110000000000001,0.0404,Effectiveness,1.7599009900990101
Return On Investment (TTM),0.1305,0.0584,Effectiveness,2.2345890410958904
Revenue Per Employee (TTM),316662.0,447825.0,Effectiveness,0.7071110366772735
Total Debt/Total Capital (MRQ),0.1895,0.40990000000000004,Financial strength,0.46230787997072453
Change in Debt/Total Capital Quarter over Quarter,0.005200000000000001,0.004,Financial strength,1.3
Quick Ratio (MRQ),1.24,1.07,Financial strength,1.158878504672897
Interest Coverage (MRQ),46.99,12.43,Financial strength,3.780370072405471
