,EME
Price/Earnings (TTM),20.94024
Price/Sales (TTM),0.68784
Price/Book (MRQ),4.02035
Price/Cash Flow (TTM),15.10391
5yr Low,41.85
5yr High,156.67
5yr Avg Return,0.14853333333333332
EPS Growth 5yr,0.1847147
Revenue Growth 5yr,0.0557267
Dividend Growth 5yr,0.10197229999999999
Short Int Current Month,925106.0
Short Int Prev Month,1011436.0
Short Int Pct of Float,0.01974
Days to Cover,2.30441
Float,45.16652
Shares Outstanding,47.65525
Institutions Holding Shares,508.0
% Held by Institutions,0.9425969999999999
FCF Growth 5yr,-2.3934942699008057
