,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,137.3,188.3,44.5,,,,,
low,44.11,39.2,15.99,,,,,
change,1.4471,-0.6659,-0.5515,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,271.0,235.0,200.0,222.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,12.0,13.0,13.0,19.0,Balance Sheet
"Goodwill, Net",,,,,,,11.0,Balance Sheet
Intangibles - Net,,,,1.0,1.0,1.0,36.0,Balance Sheet
Long Term Investments,,,,802.0,778.0,760.0,836.0,Balance Sheet
Insurance Receivables,,,,127.0,136.0,148.0,188.0,Balance Sheet
Def. Policy Acq. Costs,,,,6.0,7.0,7.0,8.0,Balance Sheet
Reinsurance - Asset,,,,90.0,113.0,110.0,136.0,Balance Sheet
Other Assets,,,,203.0,214.0,222.0,255.0,Balance Sheet
"Other Assets, Total",,,,293.0,327.0,333.0,391.0,Balance Sheet
Total Assets,,,,1511.0,1495.0,1461.0,1713.0,Balance Sheet
Accounts Payable,,,,1.0,3.0,1.0,2.0,Balance Sheet
Accrued Expenses,,,,49.0,49.0,48.0,68.0,Balance Sheet
Policy Liabilities,,,,464.0,512.0,547.0,714.0,Balance Sheet
Unearned Prem. Or Rev.,,,,208.0,222.0,242.0,294.0,Balance Sheet
Reinsurance - Liability,,,,158.0,182.0,182.0,200.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Income Taxes Payable,,,,5.0,6.0,6.0,2.0,Balance Sheet
Other Payables,,,,2.0,6.0,6.0,15.0,Balance Sheet
"Other Curr. Lblts, Total",,,,7.0,12.0,12.0,16.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,2.0,8.0,4.0,6.0,Balance Sheet
Total Liabilities,,,,522.0,583.0,612.0,806.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,1554.0,1568.0,1583.0,1738.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-562.0,-637.0,-705.0,-796.0,Balance Sheet
Unrealized Gain (Loss),,,,-3.0,-19.0,-29.0,-35.0,Balance Sheet
"Other Equity, Total",,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,988.0,913.0,849.0,907.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1511.0,1495.0,1461.0,1713.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,62.0,62.0,62.0,69.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Gross Premiums Written,,,,89300.0,96000.0,106800.0,136400.0,Income Statement
Other Insurance Revenue,,,,14700.0,16000.0,17600.0,20800.0,Income Statement
Reinsurance - Income,,,,-63900.0,-68600.0,-75600.0,-85800.0,Income Statement
Total Premiums Earned,,,,40100.0,43400.0,48800.0,71400.0,Income Statement
Net Investment Income,,,,900.0,900.0,1200.0,2600.0,Income Statement
Total Revenue,,,,41000.0,44300.0,50000.0,74000.0,Income Statement
"Losses, Benies & Adjusts",,,,24900.0,24400.0,28100.0,53300.0,Income Statement
Underwriting & Commissions,,,,7800.0,9100.0,9700.0,12100.0,Income Statement
"Losses,Benies& Adjmts,Total",,,,32700.0,33500.0,37800.0,65400.0,Income Statement
Selling/Gen/Admin Expense,,,,53000.0,58700.0,52400.0,68200.0,Income Statement
Labor & Related Expense,,,,7300.0,7800.0,7000.0,8100.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,60300.0,66500.0,59400.0,76300.0,Income Statement
"Other Operat Expse, Total",,,,16400.0,16900.0,17800.0,21400.0,Income Statement
Total Operating Expense,,,,109400.0,116900.0,115000.0,163100.0,Income Statement
Total Operating Income,,,,-68400.0,-72600.0,-65000.0,-89100.0,Income Statement
Income Before Tax,,,,-68400.0,-72600.0,-65000.0,-89100.0,Income Statement
Income Tax - Total,,,,1900.0,2200.0,2900.0,2300.0,Income Statement
Income After Tax,,,,-70300.0,-74800.0,-67900.0,-91400.0,Income Statement
Net Inc Before Extra Items,,,,-70300.0,-74800.0,-67900.0,-91400.0,Income Statement
Total Net Income,,,,-70300.0,-74800.0,-67900.0,-91400.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-70300.0,-74800.0,-67900.0,-91400.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-70300.0,-74800.0,-67900.0,-91400.0,Income Statement
Basic/Primary Weighted Average Shares,,,,61639.0,61699.0,61816.0,66877.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-1.14,-1.21,-1.1,-1.37,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-1.14,-1.21,-1.1,-1.37,Income Statement
Diluted Weighted Average Shares,,,,61639.0,61699.0,61816.0,66877.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-1.14,-1.21,-1.1,-1.37,Income Statement
Diluted EPS Incl. Extra. Items,,,,-1.14,-1.21,-1.1,-1.37,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,1200.0,1500.0,1600.0,3700.0,Income Statement
Total Special Items,,,,3500.0,500.0,500.0,7400.0,Income Statement
Normalzd Income Before Tax,,,,-64900.0,-72100.0,-64500.0,-81700.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,1225.0,175.0,175.0,2590.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,3125.0,2375.0,3075.0,4890.0,Income Statement
Normalized Income After Tax,,,,-68025.0,-74475.0,-67575.0,-86590.0,Income Statement
Normalzd Inc Avail to Common,,,,-68025.0,-74475.0,-67575.0,-86590.0,Income Statement
Basic Normalized EPS,,,,-1.1,-1.21,-1.09,-1.29,Income Statement
Diluted Normalized EPS,,,,-1.1,-1.21,-1.09,-1.29,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-241.0,-75.0,-143.0,-234.0,Cash Flow
Depreciation/Depletion,,,,4.0,2.0,3.0,7.0,Cash Flow
Unusual Items,,,,0.0,,,,Cash Flow
Other Non-Cash Items,,,,46.0,19.0,36.0,56.0,Cash Flow
Non-Cash Items,,,,46.0,19.0,36.0,56.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,3.0,1.0,3.0,3.0,Cash Flow
Prepaid Expenses,,,,-58.0,-7.0,-19.0,-32.0,Cash Flow
Other Assets,,,,-39.0,-4.0,0.0,-5.0,Cash Flow
Accounts Payable,,,,5.0,18.0,3.0,-6.0,Cash Flow
Changes in Working Capital,,,,47.0,15.0,24.0,37.0,Cash Flow
Total Cash from Operations,,,,-145.0,-40.0,-80.0,-134.0,Cash Flow
Purchase of Fixed Assets,,,,-9.0,-3.0,-5.0,-8.0,Cash Flow
Purchase/Acq of Intangibles,,,,0.0,,,,Cash Flow
Capital Expenditures,,,,-9.0,-3.0,-5.0,-8.0,Cash Flow
Sale of Business,,,,,,,99.0,Cash Flow
Sale/Maturity of Investment,,,,47.0,54.0,135.0,240.0,Cash Flow
Purchase of Investments,,,,-843.0,-47.0,-118.0,-238.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-795.0,7.0,18.0,101.0,Cash Flow
Total Cash from Investing,,,,-805.0,4.0,13.0,94.0,Cash Flow
Financing Cash Flow Items,,,,0.0,,,,Cash Flow
"Common Stock, Net",,,,640.0,0.0,0.0,0.0,Cash Flow
"Preferred Stock, Net",,,,0.0,,,,Cash Flow
Options Exercised,,,,9.0,1.0,1.0,3.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,650.0,1.0,1.0,3.0,Cash Flow
Total Cash From Financing,,,,650.0,1.0,1.0,3.0,Cash Flow
Foreign Exchange Effects,,,,-1.0,-1.0,-5.0,-8.0,Cash Flow
Net Change in Cash,,,,-301.0,-36.0,-71.0,-46.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,571.0,271.0,271.0,271.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,271.0,235.0,200.0,225.0,Cash Flow
"Depreciation, Supplemental",,,,4.0,2.0,3.0,7.0,Cash Flow
Free Cash Flow,,,,-154.0,-43.0,-85.0,-142.0,
FCF Growth,,,,,-0.7207792207792207,0.9767441860465116,0.6705882352941177,
