,LMND
% Above Low,0.2183
% Held by Institutions,0.3126
52-Wk Range,['15.99 - 53.36']
Annual Dividend $,
Annual Dividend %,
Ask,19.7
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,18.43
Bid Size,100.0
Change Since Close,-0.43| |(-2.21%)
Closing Price,19.48
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.82
Ex-dividend Date,No dividend
Historical Volatility,0.887
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,19.05
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,19.48
Short Interest,0.2354
Today's Open,
Volume,24.0
Volume 10-day Avg,971324.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.2581453634085211
Growth 1yr High Est,0.24671916010498696
Growth 1yr Consensus Est,0.25243226175675404
Growth 2yr Low Est,0.4408256697520694
Growth 2yr High Est,0.03914905373670402
Growth 2yr Consensus Est,0.2399873617443867
Growth 5yr Low Est,0.1747211389329416
Growth 5yr High Est,0.11329583714897269
Growth 5yr Consensus Est,0.14400848804095714
Growth 5yr Actual/Est,0.1093773129239779
Growth 3yr Historic,0.022956841138659295
Price/Earnings (TTM),
Price/Sales (TTM),6.43722
Price/Book (MRQ),1.48485
Price/Cash Flow (TTM),
5yr Low,15.99
5yr High,188.3
5yr Avg Return,0.07656666666666669
Short Int Current Month,11371976.0
Short Int Prev Month,11544270.0
Short Int Pct of Float,0.2354103
Days to Cover,9.15849
Float,48.29205
Shares Outstanding,69.16381
Institutions Holding Shares,288.0
FCF Growth 5yr,0.30885106685380287
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.4099000000000002
Net Profit Margin (TTM),-1.4544
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.24420000000000003
EPS Growth (TTM),-0.41979999999999995
Revenue Growth (MRQ),0.48
Revenue Growth (TTM),0.9398000000000001
Return On Equity (TTM),-0.3114
Return On Assets (TTM),-0.1882
Return On Investment (TTM),
Revenue Per Employee (TTM),187042.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-11-10 00:00:00
theStreet since,2021-11-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
