,LMND,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.05,Valuation,
Price/Sales (TTM),6.44,2.31,Valuation,2.787878787878788
Price/Book (MRQ),1.48,3.65,Valuation,0.4054794520547945
"PEG Ratio (TTM, GAAP)",,6.78,Valuation,
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),-1.4099000000000002,0.1342,Profitability,-10.50596125186289
Net Profit Margin (TTM),-1.4544,0.1081,Profitability,-13.454209065679924
Annual Dividend Yield,,0.0167,Dividend,
Dividend Change %,,-0.004,Dividend,
"Dividend Growth Rate, 3 Years",,0.0233,Dividend,
EPS Growth (MRQ),-0.24420000000000003,-0.11750000000000001,Gowth rates,2.0782978723404257
EPS Growth (TTM),-0.41979999999999995,-0.0281,Gowth rates,14.939501779359428
Revenue Growth (MRQ),0.48,0.0922,Gowth rates,5.206073752711497
Revenue Growth (TTM),0.9398000000000001,0.0431,Gowth rates,21.80510440835267
Return On Equity (TTM),-0.3114,0.35479999999999995,Effectiveness,-0.8776775648252538
Return On Assets (TTM),-0.1882,0.031200000000000002,Effectiveness,-6.032051282051282
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),187042.0,1270541.0,Effectiveness,0.14721445431513033
Total Debt/Total Capital (MRQ),0.0,0.38939999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0019,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,10.36,Financial strength,
