,GE
% Below High,0.1503
% Held by Institutions,0.7064
52-Wk Range,['59.93 - 103.73']
Annual Dividend $,0.32
Annual Dividend %,0.0036
Ask,88.18
Ask Size,400.0
B/A Ratio,2.5
B/A Size,1000x400
Beta,1.3
Bid,87.8
Bid Size,1000.0
Closing Price,88.14
Day Change $,0.27
Day Change %,0.0031
Day High,88.38
Day Low,87.35
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",-4.7
Ex-dividend,2022-09-26 00:00:00
Ex-dividend Date,09/26/22
Historical Volatility,0.354
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,96.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,87.87
Short Interest,0.0113
Today's Open,87.7
Volume,1894075.0
Volume 10-day Avg,4796237.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.24742268041237114
Growth 1yr High Est,0.244131455399061
Growth 1yr Consensus Est,0.24577706790571607
Growth 2yr Low Est,0.35305018318139214
Growth 2yr High Est,0.5428204446806626
Growth 2yr Consensus Est,0.44793531393102737
Growth 5yr Low Est,0.35305018318139214
Growth 5yr High Est,0.5428204446806626
Growth 5yr Consensus Est,0.44793531393102737
Growth 5yr Actual/Est,6.356524062032159
Growth 3yr Historic,6.128846153846154
Price/Earnings (TTM),
Price/Sales (TTM),1.28175
Price/Book (MRQ),3.0604
Price/Cash Flow (TTM),
5yr Low,43.84
5yr High,155.08
5yr Avg Return,-0.02355
EPS Growth 5yr,
Revenue Growth 5yr,-0.0908704
Dividend Growth 5yr,-0.4658608
Short Int Current Month,12362257.0
Short Int Prev Month,11483837.0
Short Int Pct of Float,0.011339300000000002
Days to Cover,1.85182
Float,1090.336
Shares Outstanding,1092.668
Institutions Holding Shares,1781.0
FCF Growth 5yr,-1.0747811132354235
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.24960000000000002
Operating Profit Margin (TTM),-0.061900000000000004
Net Profit Margin (TTM),-0.06480000000000001
Annual Dividend Yield,0.0036
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.5632
EPS Growth (MRQ),0.7626999999999999
EPS Growth (TTM),-3.2876
Revenue Growth (MRQ),0.0235
Revenue Growth (TTM),0.0031
Return On Equity (TTM),-0.15
Return On Assets (TTM),-0.0233
Return On Investment (TTM),-0.032100000000000004
Revenue Per Employee (TTM),447250.0
Total Debt/Total Capital (MRQ),0.4814
Change in Debt/Total Capital Quarter over Quarter,-0.0037
Quick Ratio (MRQ),0.78
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-10-21 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-04-10 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
