,FBP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.98,11.29,Valuation,0.883968113374668
Price/Sales (TTM),3.17,3.28,Valuation,0.9664634146341464
Price/Book (MRQ),2.27,1.42,Valuation,1.5985915492957747
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.5083,0.3468,Profitability,1.4656862745098038
Net Profit Margin (TTM),0.3403,0.2848,Profitability,1.194873595505618
Annual Dividend Yield,0.0311,0.028999999999999998,Dividend,1.0724137931034483
Dividend Change %,0.55,-0.0087,Dividend,-63.21839080459771
"Dividend Growth Rate, 3 Years",1.1781000000000001,0.0742,Dividend,15.877358490566039
EPS Growth (MRQ),0.0361,-0.048,Gowth rates,-0.7520833333333333
EPS Growth (TTM),0.2969,-0.10490000000000001,Gowth rates,-2.8303145853193517
Revenue Growth (MRQ),0.0674,0.5294,Gowth rates,0.12731394030978466
Revenue Growth (TTM),0.040999999999999995,0.22469999999999998,Gowth rates,0.18246550956831328
Return On Equity (TTM),0.1773,0.1153,Effectiveness,1.5377276669557678
Return On Assets (TTM),0.0154,0.0101,Effectiveness,1.5247524752475248
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0009,Financial strength,-1.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
