,FBP
% Below High,0.0728
% Held by Institutions,0.9584
52-Wk Range,['11.94 - 16.62']
Annual Dividend $,0.48
Annual Dividend %,0.0311
Ask,15.6
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,1.2
Bid,14.37
Bid Size,400.0
Closing Price,15.41
Day Change $,0.19
Day Change %,0.0125
Day High,15.45
Day Low,15.26
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",1.54
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.386
Last (size),88.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.98
Prev Close,15.22
Short Interest,0.030600000000000002
Today's Open,15.32
Volume,291757.0
Volume 10-day Avg,1065122.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.15671641791044766
Growth 1yr High Est,0.17518248175182483
Growth 1yr Consensus Est,0.16594944983113624
Growth 2yr Low Est,0.10416466056812701
Growth 2yr High Est,0.14038627193181297
Growth 2yr Consensus Est,0.12227546624996999
Growth 5yr Low Est,0.24874899695073022
Growth 5yr High Est,0.2768598026325732
Growth 5yr Consensus Est,0.2628043997916517
Growth 5yr Actual/Est,0.4912785414892785
Growth 3yr Historic,0.43643939393939385
Price/Earnings (TTM),9.97999
Price/Sales (TTM),3.16896
Price/Book (MRQ),2.26836
Price/Cash Flow (TTM),8.43237
5yr Low,3.5
5yr High,16.62
5yr Avg Return,0.23568333333333333
EPS Growth 5yr,0.2494774
Revenue Growth 5yr,0.0630826
Dividend Growth 5yr,
Short Int Current Month,5520658.0
Short Int Prev Month,6697004.0
Short Int Pct of Float,0.0305575
Days to Cover,4.32489
Float,181.3334
Shares Outstanding,184.6115
Institutions Holding Shares,330.0
FCF Growth 5yr,0.24781907727644162
"Price/Earnings (TTM, GAAP)",9.98
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5083
Net Profit Margin (TTM),0.3403
Annual Dividend Yield,0.0311
Dividend Change %,0.55
"Dividend Growth Rate, 3 Years",1.1781000000000001
EPS Growth (MRQ),0.0361
EPS Growth (TTM),0.2969
Revenue Growth (MRQ),0.0674
Revenue Growth (TTM),0.040999999999999995
Return On Equity (TTM),0.1773
Return On Assets (TTM),0.0154
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-10-12 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
