,NOG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.01,9.13,Valuation,0.4392113910186199
Price/Sales (TTM),1.85,7.57,Valuation,0.24438573315719947
Price/Book (MRQ),4.01,4.65,Valuation,0.8623655913978493
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.7472,0.35119999999999996,Profitability,2.127562642369021
Operating Profit Margin (TTM),0.5769,0.192,Profitability,3.0046874999999997
Net Profit Margin (TTM),0.5284000000000001,0.0358,Profitability,14.759776536312852
Annual Dividend Yield,0.0333,0.0379,Dividend,0.8786279683377309
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),1.4580000000000002,2.3421000000000003,Gowth rates,0.6225182528500064
EPS Growth (TTM),2.4128000000000003,7.2215,Gowth rates,0.33411341134113415
Revenue Growth (MRQ),0.7933,0.7168000000000001,Gowth rates,1.1067243303571428
Revenue Growth (TTM),5.6701,47.807,Gowth rates,0.11860397012989729
Return On Equity (TTM),2.7768,0.3993,Effectiveness,6.9541697971450045
Return On Assets (TTM),0.4322,0.15810000000000002,Effectiveness,2.7337128399746993
Return On Investment (TTM),0.5391,0.2237,Effectiveness,2.4099240053643274
Revenue Per Employee (TTM),60773840.0,7554984.0,Effectiveness,8.04420499103638
Total Debt/Total Capital (MRQ),0.6225,0.3658,Financial strength,1.701749589939858
Change in Debt/Total Capital Quarter over Quarter,-0.0031,-0.002,Financial strength,1.5499999999999998
Quick Ratio (MRQ),,0.96,Financial strength,
Interest Coverage (MRQ),29.97,13.28,Financial strength,2.256777108433735
