,NOG
% Below High,0.078
% Held by Institutions,0.8576
52-Wk Range,['17.52 - 39.10']
Annual Dividend $,1.2
Annual Dividend %,0.0333
Ask,35.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.0
Bid,34.82
Bid Size,100.0
Change Since Close,-0.81| |(-2.25%)
Closing Price,36.05
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-31 00:00:00
"EPS (TTM, GAAP)",8.99
Ex-dividend,2022-12-28 00:00:00
Ex-dividend Date,12/28/22
Historical Volatility,0.648
Last (size),2.0
Last (time),5:00p ET 11/25/22
Last Trade,35.24
Market Cap,3.1B
"P/E Ratio (TTM, GAAP)",4.01
Prev Close,36.05
Short Interest,0.0973
Today's Open,
Volume,565.0
Volume 10-day Avg,1848936.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,1.0208333333333335
Growth 1yr High Est,0.7314148681055155
Growth 1yr Consensus Est,0.8761241007194245
Growth 2yr Low Est,0.6871471526755032
Growth 2yr High Est,0.8151534174322592
Growth 2yr Consensus Est,0.7511502850538812
Growth 5yr Low Est,0.7874866619414597
Growth 5yr High Est,0.8566139061951495
Growth 5yr Consensus Est,0.8220502840683047
Growth 5yr Actual/Est,0.5179705314352694
Growth 3yr Historic,0.12616979794399152
Price/Earnings (TTM),4.01166
Price/Sales (TTM),1.8477
Price/Book (MRQ),4.01018
Price/Cash Flow (TTM),2.78605
5yr Low,3.35
5yr High,44.9
5yr Avg Return,0.33716666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.27949280000000004
Dividend Growth 5yr,
Short Int Current Month,6471228.0
Short Int Prev Month,6880034.0
Short Int Pct of Float,0.0973456
Days to Cover,3.74005
Float,66.4652
Shares Outstanding,77.87223
Institutions Holding Shares,307.0
FCF Growth 5yr,0.03459595959595959
"Price/Earnings (TTM, GAAP)",4.01
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7472
Operating Profit Margin (TTM),0.5769
Net Profit Margin (TTM),0.5284000000000001
Annual Dividend Yield,0.0333
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4580000000000002
EPS Growth (TTM),2.4128000000000003
Revenue Growth (MRQ),0.7933
Revenue Growth (TTM),5.6701
Return On Equity (TTM),2.7768
Return On Assets (TTM),0.4322
Return On Investment (TTM),0.5391
Revenue Per Employee (TTM),60773840.0
Total Debt/Total Capital (MRQ),0.6225
Change in Debt/Total Capital Quarter over Quarter,-0.0031
Quick Ratio (MRQ),
Interest Coverage (MRQ),29.97
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-07 00:00:00
theStreet since,2022-08-04 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
