,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,29.36,113.5,139.0,84.9,,,,,
low,12.89,11.39,63.0,14.09,,,,,
change,-0.22920000000000001,3.4717000000000002,-0.2446,-0.7892,,,,,
Date,,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,128.0,117.0,112.0,108.0,Balance Sheet
Short Term Investments,,,,,30.0,28.0,30.0,19.0,Balance Sheet
Cash and Short Term Invs,,,,,159.0,145.0,142.0,127.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,46.0,38.0,48.0,63.0,Balance Sheet
Prov. for Doubtful Accts,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,105.0,115.0,48.0,63.0,Balance Sheet
Prepaid Expenses,,,,,17.0,15.0,69.0,58.0,Balance Sheet
"Other Curr. Assets, Total",,,,,6.0,6.0,7.0,7.0,Balance Sheet
Total Current Assets,,,,,287.0,281.0,266.0,255.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,46.0,51.0,56.0,55.0,Balance Sheet
"Goodwill, Net",,,,,1129.0,1126.0,1124.0,1115.0,Balance Sheet
Intangibles - Gross,,,,,201.0,200.0,200.0,196.0,Balance Sheet
Accum. Intangible Amort.,,,,,-176.0,-180.0,-184.0,-184.0,Balance Sheet
Intangibles - Net,,,,,25.0,20.0,16.0,13.0,Balance Sheet
Long Term Investments,,,,,7.0,8.0,4.0,9.0,Balance Sheet
Deferred Charges,,,,,32.0,30.0,27.0,24.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,159.0,158.0,156.0,50.0,Balance Sheet
Other Long Term Assets,,,,,20.0,19.0,54.0,57.0,Balance Sheet
Total Assets,,,,,1706.0,1692.0,1703.0,1577.0,Balance Sheet
Accounts Payable,,,,,12.0,8.0,18.0,15.0,Balance Sheet
Accrued Expenses,,,,,69.0,55.0,51.0,54.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,7.0,7.0,8.0,10.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,78.0,71.0,79.0,75.0,Balance Sheet
Total Current Liabilities,,,,,165.0,141.0,156.0,154.0,Balance Sheet
Long Term Debt,,,,,265.0,265.0,263.0,261.0,Balance Sheet
Capital Lease Obligations,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Long Term Debt,,,,,266.0,266.0,264.0,262.0,Balance Sheet
Total Debt,,,,,273.0,273.0,272.0,272.0,Balance Sheet
"Other Liabilities, Total",,,,,242.0,235.0,226.0,210.0,Balance Sheet
Total Liabilities,,,,,674.0,643.0,646.0,627.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,1002.0,1006.0,1019.0,1024.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,28.0,47.0,46.0,-53.0,Balance Sheet
"Other Equity, Total",,,,,2.0,-4.0,-9.0,-21.0,Balance Sheet
Total Equity,,,,,1032.0,1050.0,1056.0,950.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,1706.0,1692.0,1703.0,1577.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,38.0,39.0,39.0,39.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Income Statement
Total Revenue,,,,,98076.0,94426.0,86280.0,89041.0,Income Statement
"Cost of Revenue, Total",,,,,24127.0,24227.0,24306.0,24252.0,Income Statement
Selling/Gen/Admin Expense,,,,,14602.0,14652.0,16899.0,15913.0,Income Statement
Labor & Related Expense,,,,,14400.0,-1246.0,5210.0,3000.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,29002.0,13406.0,22109.0,18913.0,Income Statement
Research & Development,,,,,28705.0,25792.0,29976.0,26040.0,Income Statement
Depreciation/Amortization,,,,,3169.0,3154.0,3135.0,2862.0,Income Statement
Restructuring Charge,,,,,2315.0,4915.0,474.0,1197.0,Income Statement
Other Unusual Expnse (In),,,,,0.0,,,,Income Statement
Unusual Expense (Income),,,,,2315.0,4915.0,474.0,1197.0,Income Statement
Total Operating Expense,,,,,87318.0,71494.0,80000.0,73264.0,Income Statement
Total Operating Income,,,,,10758.0,22932.0,6280.0,15777.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-3428.0,-3427.0,-3360.0,-3815.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,41.0,90.0,83.0,243.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,131.0,-252.0,-34.0,-478.0,Income Statement
"Other, Net",,,,,131.0,-252.0,-34.0,-478.0,Income Statement
Income Before Tax,,,,,7502.0,19343.0,2969.0,11727.0,Income Statement
Income Tax - Total,,,,,-489.0,299.0,3445.0,110994.0,Income Statement
Income After Tax,,,,,7991.0,19044.0,-476.0,-99267.0,Income Statement
Net Inc Before Extra Items,,,,,7991.0,19044.0,-476.0,-99267.0,Income Statement
Total Net Income,,,,,7991.0,19044.0,-476.0,-99267.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,7991.0,19044.0,-476.0,-99267.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,7991.0,19044.0,-476.0,-99267.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,38016.0,38839.0,39189.0,39313.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.21,0.49,-0.01,-2.53,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.21,0.49,-0.01,-2.53,Income Statement
Dilution Adjustment,,,,,,1911.0,0.0,0.0,Income Statement
Diluted Weighted Average Shares,,,,,39751.0,44370.0,39189.0,39313.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.2,0.47,-0.01,-2.53,Income Statement
