,CRNC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),1.74,9.39,Valuation,0.1853035143769968
Price/Book (MRQ),0.67,12.63,Valuation,0.05304829770387965
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7365,0.7206,Profitability,1.0220649458784348
Operating Profit Margin (TTM),0.1516,0.2172,Profitability,0.6979742173112339
Net Profit Margin (TTM),-0.1977,0.1553,Profitability,-1.2730199613650999
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-206.8222,-0.0752,Gowth rates,2750.2952127659573
EPS Growth (TTM),-2.5784,-0.2824,Gowth rates,9.130311614730878
Revenue Growth (MRQ),0.032,0.15560000000000002,Gowth rates,0.2056555269922879
Revenue Growth (TTM),-0.0329,0.1906,Gowth rates,-0.17261280167890872
Return On Equity (TTM),-0.0737,0.2189,Effectiveness,-0.33668341708542715
Return On Assets (TTM),-0.0443,0.10740000000000001,Effectiveness,-0.41247672253258844
Return On Investment (TTM),-0.049100000000000005,0.1387,Effectiveness,-0.3540014419610671
Revenue Per Employee (TTM),216367.0,667721.0,Effectiveness,0.32403803384946706
Total Debt/Total Capital (MRQ),0.2225,0.39659999999999995,Financial strength,0.5610186585980838
Change in Debt/Total Capital Quarter over Quarter,0.0008,0.0004,Financial strength,2.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),4.75,0.28,Financial strength,16.96428571428571
