,CRNC
% Above Low,0.154
% Held by Institutions,0.9691
52-Wk Range,['14.09 - 84.90']
Annual Dividend $,
Annual Dividend %,
Ask,16.53
Ask Size,100.0
B/A Ratio,55.0
B/A Size,5500x100
Beta,
Bid,16.25
Bid Size,5500.0
Closing Price,16.26
Day Change $,-0.33
Day Change %,-0.0199
Day High,16.6
Day Low,16.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.86
Ex-dividend Date,No dividend
Historical Volatility,0.745
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,640.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,16.59
Short Interest,0.1018
Today's Open,16.59
Volume,147763.0
Volume 10-day Avg,345814.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.5319148936170213
Growth 1yr High Est,-0.508
Growth 1yr Consensus Est,-0.5199574468085106
Growth 2yr Low Est,-0.7432301740812379
Growth 2yr High Est,-0.3353008130081301
Growth 2yr Consensus Est,-0.539265493544684
Growth 5yr Low Est,-0.17988576373234827
Growth 5yr High Est,-0.15938594369414766
Growth 5yr Consensus Est,-0.16963585371324796
Growth 5yr Actual/Est,-0.12171628063492462
Growth 3yr Historic,0.11926266171208366
Price/Earnings (TTM),
Price/Sales (TTM),1.74098
Price/Book (MRQ),0.67285
Price/Cash Flow (TTM),
5yr Low,11.39
5yr High,139.0
5yr Avg Return,0.552175
EPS Growth 5yr,0.039998900000000004
Revenue Growth 5yr,0.12893929999999998
Dividend Growth 5yr,
Short Int Current Month,3934804.0
Short Int Prev Month,3923617.0
Short Int Pct of Float,0.10175580000000001
Days to Cover,11.69214
Float,38.65791
Shares Outstanding,39.38332
Institutions Holding Shares,326.0
FCF Growth 5yr,-1.273376982133676
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7365
Operating Profit Margin (TTM),0.1516
Net Profit Margin (TTM),-0.1977
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-206.8222
EPS Growth (TTM),-2.5784
Revenue Growth (MRQ),0.032
Revenue Growth (TTM),-0.0329
Return On Equity (TTM),-0.0737
Return On Assets (TTM),-0.0443
Return On Investment (TTM),-0.049100000000000005
Revenue Per Employee (TTM),216367.0
Total Debt/Total Capital (MRQ),0.2225
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.75
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-03-07 00:00:00
ford since,2021-04-30 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-03-07 00:00:00
marketEdge opinion since,
