,EMR
% Below High,0.0388
% Held by Institutions,0.7136
52-Wk Range,['72.41 - 100.00']
Annual Dividend $,2.08
Annual Dividend %,0.0216
Ask,98.23
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,90.0
Bid Size,300.0
Closing Price,96.12
Day Change $,0.23
Day Change %,0.0024
Day High,96.65
Day Low,95.26
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",5.42
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.275
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,56.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.74
Prev Close,95.89
Short Interest,0.0102
Today's Open,95.89
Volume,1324777.0
Volume 10-day Avg,3167703.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.10864745011086485
Growth 1yr High Est,0.05415860735009681
Growth 1yr Consensus Est,-0.02724442138038402
Growth 2yr Low Est,-0.051836162866377655
Growth 2yr High Est,0.03166645963835113
Growth 2yr Consensus Est,-0.010084851614013263
Growth 5yr Low Est,0.07097366810982939
Growth 5yr High Est,0.13609444109980434
Growth 5yr Consensus Est,0.10353405460481686
Growth 5yr Actual/Est,0.09150323311199349
Growth 3yr Historic,0.11636472578598617
Price/Earnings (TTM),17.74244
Price/Sales (TTM),2.89599
Price/Book (MRQ),5.48489
Price/Cash Flow (TTM),13.08896
5yr Low,37.75
5yr High,105.99
5yr Avg Return,0.08270000000000001
EPS Growth 5yr,0.1623666
Revenue Growth 5yr,0.0515888
Dividend Growth 5yr,0.0141757
Short Int Current Month,5995647.0
Short Int Prev Month,5744479.0
Short Int Pct of Float,0.0102176
Days to Cover,1.36244
Float,587.0109
Shares Outstanding,591.4
Institutions Holding Shares,2087.0
FCF Growth 5yr,0.8049295479952413
"Price/Earnings (TTM, GAAP)",17.74
"PEG Ratio (TTM, GAAP)",1.77
Gross Profit Margin (TTM),0.4171
Operating Profit Margin (TTM),0.1704
Net Profit Margin (TTM),0.16460000000000002
Annual Dividend Yield,0.0216
Dividend Change %,0.0198
"Dividend Growth Rate, 3 Years",0.0167
EPS Growth (MRQ),-0.1942
EPS Growth (TTM),0.4154
Revenue Growth (MRQ),0.0709
Revenue Growth (TTM),0.0764
Return On Equity (TTM),0.31920000000000004
Return On Assets (TTM),0.107
Return On Investment (TTM),0.16
Revenue Per Employee (TTM),229579.0
Total Debt/Total Capital (MRQ),0.3887
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.81
Interest Coverage (MRQ),10.56
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2020-11-16 00:00:00
cfra since,2019-11-05 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-06-18 00:00:00
