,EMR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.74,35.65,Valuation,0.49761570827489476
Price/Sales (TTM),2.9,12.92,Valuation,0.2244582043343653
Price/Book (MRQ),5.48,9.0,Valuation,0.6088888888888889
"PEG Ratio (TTM, GAAP)",1.77,0.29,Valuation,6.103448275862069
Gross Profit Margin (TTM),0.4171,0.2968,Profitability,1.405323450134771
Operating Profit Margin (TTM),0.1704,-0.5081,Profitability,-0.3353670537295808
Net Profit Margin (TTM),0.16460000000000002,-0.706,Profitability,-0.23314447592067994
Annual Dividend Yield,0.0216,0.0123,Dividend,1.7560975609756098
Dividend Change %,0.0198,0.0305,Dividend,0.6491803278688525
"Dividend Growth Rate, 3 Years",0.0167,0.0396,Dividend,0.42171717171717166
EPS Growth (MRQ),-0.1942,0.5871000000000001,Gowth rates,-0.33077840231647077
EPS Growth (TTM),0.4154,-1.2397,Gowth rates,-0.33508106800032267
Revenue Growth (MRQ),0.0709,0.28940000000000005,Gowth rates,0.24498963372494814
Revenue Growth (TTM),0.0764,0.22710000000000002,Gowth rates,0.33641567591369437
Return On Equity (TTM),0.31920000000000004,0.10210000000000001,Effectiveness,3.1263467189030365
Return On Assets (TTM),0.107,0.0479,Effectiveness,2.233820459290188
Return On Investment (TTM),0.16,0.0575,Effectiveness,2.782608695652174
Revenue Per Employee (TTM),229579.0,348568.0,Effectiveness,0.6586347570631842
Total Debt/Total Capital (MRQ),0.3887,0.3799,Financial strength,1.023163990523822
Change in Debt/Total Capital Quarter over Quarter,0.0008,0.0017000000000000001,Financial strength,0.47058823529411764
Quick Ratio (MRQ),0.81,1.37,Financial strength,0.5912408759124087
Interest Coverage (MRQ),10.56,9.61,Financial strength,1.0988553590010408
