,HYFM
% Above Low,0.3973
% Held by Institutions,0.478
52-Wk Range,['1.88 - 37.04']
Annual Dividend $,
Annual Dividend %,
Ask,2.62
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,2.59
Bid Size,300.0
Closing Price,2.62
Day Change $,-0.06
Day Change %,-0.022400000000000003
Day High,2.7
Day Low,2.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.82
Ex-dividend Date,No dividend
Historical Volatility,0.996
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,118.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.68
Short Interest,0.0712
Today's Open,2.7
Volume,209899.0
Volume 10-day Avg,769781.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4747474747474747
Growth 2yr High Est,-0.2957746478873239
Growth 2yr Consensus Est,-0.3852610613173993
Growth 5yr Low Est,-0.4747474747474747
Growth 5yr High Est,-0.2957746478873239
Growth 5yr Consensus Est,-0.3852610613173993
Growth 5yr Actual/Est,-2.0834452172567075
Growth 3yr Historic,-0.7608695652173912
Price/Earnings (TTM),
Price/Sales (TTM),0.30079
Price/Book (MRQ),0.30909
Price/Cash Flow (TTM),
5yr Low,1.88
5yr High,95.48
5yr Avg Return,-0.4169333333333334
Short Int Current Month,2825075.0
Short Int Prev Month,2982735.0
Short Int Pct of Float,0.07121870000000001
Days to Cover,1.93445
Float,39.67258
Shares Outstanding,45.17043
Institutions Holding Shares,153.0
FCF Growth 5yr,-0.04741949912745591
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1233
Operating Profit Margin (TTM),-0.6708
Net Profit Margin (TTM),-0.6639
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8847
EPS Growth (TTM),-23.845200000000002
Revenue Growth (MRQ),-0.2395
Revenue Growth (TTM),-0.138
Return On Equity (TTM),-0.5134000000000001
Return On Assets (TTM),-0.3785
Return On Investment (TTM),-0.4307
Revenue Per Employee (TTM),554935.0
Total Debt/Total Capital (MRQ),0.2402
Change in Debt/Total Capital Quarter over Quarter,0.04730000000000001
Quick Ratio (MRQ),1.02
Interest Coverage (MRQ),-6.24
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-04-01 00:00:00
researchTeam since,2022-04-01 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
