,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,60.49,95.48,29.14,,,,,
low,41.59,24.36,1.88,,,,,
change,0.14300000000000002,-0.48560000000000003,-0.9081999999999999,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,27.0,12.0,26.0,16.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,36.0,44.0,31.0,23.0,Balance Sheet
Prov. for Doubtful Accts,,,,-1.0,-1.0,-1.0,-2.0,Balance Sheet
"Trade Accts Recvble, Net",,,,34.0,43.0,30.0,21.0,Balance Sheet
Notes Recvble - Short Term,,,,1.0,0.0,0.0,0.0,Balance Sheet
Other Receivables,,,,7.0,3.0,3.0,3.0,Balance Sheet
"Total Receivables, Net",,,,42.0,46.0,33.0,24.0,Balance Sheet
Invent. - Finished Goods,,,,145.0,146.0,122.0,105.0,Balance Sheet
Invent. - Work In Progress,,,,6.0,9.0,11.0,7.0,Balance Sheet
Invent. - Raw Materials,,,,41.0,42.0,42.0,45.0,Balance Sheet
Inventories - Other,,,,-4.0,-6.0,-17.0,-20.0,Balance Sheet
Total Inventory,,,,189.0,190.0,157.0,137.0,Balance Sheet
Prepaid Expenses,,,,10.0,11.0,10.0,9.0,Balance Sheet
"Other Curr. Assets, Total",,,,2.0,2.0,1.0,0.0,Balance Sheet
Total Current Assets,,,,269.0,261.0,227.0,187.0,Balance Sheet
Buildings,,,,13.0,13.0,13.0,13.0,Balance Sheet
Land/Improvements,,,,6.0,6.0,6.0,6.0,Balance Sheet
Machinery/Equipment,,,,28.0,30.0,31.0,31.0,Balance Sheet
Other Prop./Plant/Equip.,,,,57.0,67.0,67.0,64.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,104.0,116.0,116.0,114.0,Balance Sheet
Accumulated Depreciation,,,,-8.0,-10.0,-12.0,-13.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,96.0,106.0,105.0,100.0,Balance Sheet
"Goodwill, Net",,,,205.0,183.0,0.0,0.0,Balance Sheet
Intangibles - Gross,,,,344.0,371.0,364.0,362.0,Balance Sheet
Accum. Intangible Amort.,,,,-29.0,-44.0,-50.0,-56.0,Balance Sheet
Intangibles - Net,,,,315.0,327.0,313.0,306.0,Balance Sheet
Other Long Term Assets,,,,6.0,4.0,4.0,4.0,Balance Sheet
Total Assets,,,,891.0,881.0,649.0,597.0,Balance Sheet
Accounts Payable,,,,45.0,36.0,24.0,19.0,Balance Sheet
Accrued Expenses,,,,24.0,24.0,19.0,21.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,2.0,2.0,2.0,2.0,Balance Sheet
Customer Advances,,,,,11.0,11.0,7.0,Balance Sheet
Other Current Liabilities,,,,17.0,15.0,15.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,17.0,26.0,27.0,7.0,Balance Sheet
Total Current Liabilities,,,,88.0,89.0,71.0,49.0,Balance Sheet
Total Long Term Debt,,,,120.0,119.0,119.0,119.0,Balance Sheet
Total Debt,,,,122.0,121.0,121.0,121.0,Balance Sheet
Deferred Income Tax,,,,6.0,7.0,0.0,0.0,Balance Sheet
