,VIAV
% Above Low,0.09720000000000001
% Held by Institutions,0.9664
52-Wk Range,['10.04 - 18.14']
Annual Dividend $,
Annual Dividend %,
Ask,11.07
Ask Size,1500.0
B/A Ratio,16.266666666666666
B/A Size,24400x1500
Beta,0.8
Bid,10.44
Bid Size,24400.0
Closing Price,11.01
Day Change $,-0.01
Day Change %,-0.0009
Day High,11.18
Day Low,10.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.44
Ex-dividend Date,No dividend
Historical Volatility,0.41200000000000003
Last (size),15900.0
Last (time),3:59p ET 11/28/22
Market Cap,2.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.16
Prev Close,11.02
Short Interest,0.0258
Today's Open,10.93
Volume,1736234.0
Volume 10-day Avg,1707455.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.4130434782608695
Growth 1yr High Est,-0.276595744680851
Growth 1yr Consensus Est,-0.34481961147086027
Growth 2yr Low Est,-0.0861513687600644
Growth 2yr High Est,0.008760951188986177
Growth 2yr Consensus Est,-0.038695208785539115
Growth 5yr Low Est,-0.002581925164937456
Growth 5yr High Est,0.06417396745932406
Growth 5yr Consensus Est,0.030796021147193302
Growth 5yr Actual/Est,0.06578589049782402
Growth 3yr Historic,0.07039115365571874
Price/Earnings (TTM),25.16212
Price/Sales (TTM),1.95522
Price/Book (MRQ),3.85802
Price/Cash Flow (TTM),14.12497
5yr Low,8.08
5yr High,18.14
5yr Avg Return,0.06495000000000001
EPS Growth 5yr,-0.369984
Revenue Growth 5yr,0.09931010000000001
Dividend Growth 5yr,
Short Int Current Month,5763665.0
Short Int Prev Month,8489546.0
Short Int Pct of Float,0.025788199999999997
Days to Cover,1.82151
Float,223.6864
Shares Outstanding,226.3585
Institutions Holding Shares,400.0
FCF Growth 5yr,0.1365346429899161
"Price/Earnings (TTM, GAAP)",25.16
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5982999999999999
Operating Profit Margin (TTM),0.1348
Net Profit Margin (TTM),0.08070000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9492
EPS Growth (TTM),13.976600000000001
Revenue Growth (MRQ),-0.07490000000000001
Revenue Growth (TTM),0.027999999999999997
Return On Equity (TTM),0.1366
Return On Assets (TTM),0.052300000000000006
Return On Investment (TTM),0.0622
Revenue Per Employee (TTM),354389.0
Total Debt/Total Capital (MRQ),0.5194
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),2.52
Interest Coverage (MRQ),9.02
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-03-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
