,MYTE
% Above Low,0.138
% Held by Institutions,0.21710000000000002
52-Wk Range,['8.91 - 27.82']
Annual Dividend $,
Annual Dividend %,
Ask,11.0
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,10.14
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.05
Ex-dividend Date,No dividend
Historical Volatility,0.688
Last (size),235.0
Last (time),5:00p ET 11/25/22
Market Cap,858.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.14
Short Interest,0.0721
Today's Open,
Volume,24378.0
Volume 10-day Avg,49668.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3500000000000001
Growth 1yr High Est,0.03571428571428559
Growth 1yr Consensus Est,0.19285714285714284
Growth 2yr Low Est,0.24907407407407411
Growth 2yr High Est,0.11268472906403937
Growth 2yr Consensus Est,0.18087940156905674
Growth 5yr Low Est,0.1660493827160494
Growth 5yr High Est,0.07512315270935958
Growth 5yr Consensus Est,0.12058626771270449
Growth 5yr Actual/Est,0.11060186786579045
Growth 3yr Historic,0.06802721088435375
Price/Earnings (TTM),
Price/Sales (TTM),1.16707
Price/Book (MRQ),1.89354
Price/Cash Flow (TTM),163.7711
5yr Low,8.91
5yr High,36.25
5yr Avg Return,-0.46659999999999996
Short Int Current Month,1244284.0
Short Int Prev Month,1522505.0
Short Int Pct of Float,0.0720938
Days to Cover,8.42377
Float,17.25852
Shares Outstanding,84.68363
Institutions Holding Shares,55.0
FCF Growth 5yr,0.6513413190556748
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5163
Operating Profit Margin (TTM),0.0108
Net Profit Margin (TTM),-0.0062
EPS Growth (MRQ),-3.3037
EPS Growth (TTM),0.908
Revenue Growth (MRQ),0.006
Revenue Growth (TTM),0.0998
Return On Equity (TTM),-0.0106
Return On Assets (TTM),-0.0077
Return On Investment (TTM),-0.0098
Revenue Per Employee (TTM),594320.0
Total Debt/Total Capital (MRQ),0.0928
Change in Debt/Total Capital Quarter over Quarter,0.006600000000000001
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),-2.29
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-04-13 00:00:00
newConstructs since,
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
