,MYTE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,,Valuation,
Price/Sales (TTM),1.17,,Valuation,
Price/Book (MRQ),1.89,,Valuation,
"PEG Ratio (TTM, GAAP)",,,Valuation,
Gross Profit Margin (TTM),0.5163,,Profitability,
Operating Profit Margin (TTM),0.0108,,Profitability,
Net Profit Margin (TTM),-0.0062,,Profitability,
EPS Growth (MRQ),-3.3037,,Gowth rates,
EPS Growth (TTM),0.908,,Gowth rates,
Revenue Growth (MRQ),0.006,,Gowth rates,
Revenue Growth (TTM),0.0998,,Gowth rates,
Return On Equity (TTM),-0.0106,,Effectiveness,
Return On Assets (TTM),-0.0077,,Effectiveness,
Return On Investment (TTM),-0.0098,,Effectiveness,
Revenue Per Employee (TTM),594320.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.0928,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.006600000000000001,,Financial strength,
Quick Ratio (MRQ),0.93,,Financial strength,
Interest Coverage (MRQ),-2.29,,Financial strength,
