,CPRT
% Below High,0.14679999999999999
% Held by Institutions,0.8018000000000001
52-Wk Range,['51.11 - 76.29']
Annual Dividend $,
Annual Dividend %,
Ask,65.43
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,64.79
Bid Size,100.0
Closing Price,65.09
Day Change $,-0.78
Day Change %,-0.0118
Day High,66.36
Day Low,65.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.23
Ex-dividend Date,No dividend
Historical Volatility,0.341
Last (size),6.0
Last (time),12:59p ET 11/25/22
Market Cap,31.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",29.16
Prev Close,65.87
Short Interest,0.0129
Today's Open,66.17
Volume,748342.0
Volume 10-day Avg,2323181.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.5
Growth 1yr High Est,-0.47058823529411764
Growth 1yr Consensus Est,-0.4852941176470588
Growth 2yr Low Est,-0.20205479452054798
Growth 2yr High Est,-0.1653352699104333
Growth 2yr Consensus Est,-0.18369503221549063
Growth 5yr Low Est,-0.05443879596931711
Growth 5yr High Est,-0.03664195298993426
Growth 5yr Consensus Est,-0.04554037447962569
Growth 5yr Actual/Est,0.1969856211382961
Growth 3yr Historic,0.1598784831342971
Price/Earnings (TTM),29.15983
Price/Sales (TTM),8.64983
Price/Book (MRQ),6.38711
Price/Cash Flow (TTM),25.37833
5yr Low,19.61
5yr High,80.56
5yr Avg Return,0.2510666666666667
EPS Growth 5yr,0.2213626
Revenue Growth 5yr,0.1931194
Dividend Growth 5yr,
Short Int Current Month,5538699.0
Short Int Prev Month,2731407.0
Short Int Pct of Float,0.0129484
Days to Cover,2.45188
Float,427.9323
Shares Outstanding,476.3
Institutions Holding Shares,1133.0
FCF Growth 5yr,0.2287502806453685
"Price/Earnings (TTM, GAAP)",29.16
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.44380000000000003
Operating Profit Margin (TTM),0.3738
Net Profit Margin (TTM),0.30010000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0692
EPS Growth (TTM),0.0779
Revenue Growth (MRQ),0.0113
Revenue Growth (TTM),0.2318
Return On Equity (TTM),0.2488
Return On Assets (TTM),0.2046
Return On Investment (TTM),0.2261
Revenue Per Employee (TTM),377280.0
Total Debt/Total Capital (MRQ),0.0004
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),4.58
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-04-02 00:00:00
cfra since,2022-05-19 00:00:00
ford since,2022-03-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2009-05-12 00:00:00
