,CPRT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.16,49.52,Valuation,0.5888529886914378
Price/Sales (TTM),8.65,4.95,Valuation,1.7474747474747474
Price/Book (MRQ),6.39,8.39,Valuation,0.7616209773539928
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.44380000000000003,0.3995,Profitability,1.1108886107634544
Operating Profit Margin (TTM),0.3738,-0.031400000000000004,Profitability,-11.904458598726114
Net Profit Margin (TTM),0.30010000000000003,-0.042300000000000004,Profitability,-7.094562647754137
Annual Dividend Yield,,0.011000000000000001,Dividend,
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),-0.0692,0.2798,Gowth rates,-0.24731951393852752
EPS Growth (TTM),0.0779,0.017,Gowth rates,4.58235294117647
Revenue Growth (MRQ),0.0113,6.526000000000001,Gowth rates,0.001731535396874042
Revenue Growth (TTM),0.2318,0.4152,Gowth rates,0.5582851637764933
Return On Equity (TTM),0.2488,0.24,Effectiveness,1.0366666666666666
Return On Assets (TTM),0.2046,0.08750000000000001,Effectiveness,2.338285714285714
Return On Investment (TTM),0.2261,0.11080000000000001,Effectiveness,2.040613718411552
Revenue Per Employee (TTM),377280.0,300327.0,Effectiveness,1.256230708527705
Total Debt/Total Capital (MRQ),0.0004,0.4451,Financial strength,0.0008986744551786116
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0070999999999999995,Financial strength,-1.4084507042253522
Quick Ratio (MRQ),4.58,1.37,Financial strength,3.3430656934306566
Interest Coverage (MRQ),,18.65,Financial strength,
