,KRTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),187.51,45.03,Valuation,4.164112813679769
Price/Book (MRQ),6.7,12.61,Valuation,0.5313243457573354
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-5.501900000000001,-4.7459,Profitability,1.15929539181188
Net Profit Margin (TTM),-5.3891,-4.5467,Profitability,1.1852772340378734
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.09519999999999999,-0.0014000000000000002,Gowth rates,67.99999999999999
EPS Growth (TTM),-0.5258,0.027200000000000002,Gowth rates,-19.330882352941178
Revenue Growth (MRQ),-0.9847,1.3963999999999999,Gowth rates,-0.7051704382698368
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.268,0.1967,Effectiveness,-1.362480935434672
Return On Assets (TTM),-0.2579,0.0016,Effectiveness,-161.1875
Return On Investment (TTM),-0.2665,0.0219,Effectiveness,-12.1689497716895
Revenue Per Employee (TTM),358670.0,1476201.0,Effectiveness,0.24296826787138065
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
