,KRTX
% Below High,0.17
% Held by Institutions,0.9837
52-Wk Range,['92.26 - 278.25']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,230.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-7.45
Ex-dividend Date,No dividend
Historical Volatility,0.766
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,7.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,230.95
Short Interest,0.053399999999999996
Today's Open,
Volume,44439.0
Volume 10-day Avg,301265.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,2.380434782608696
Growth 1yr High Est,2.0370370370370368
Growth 1yr Consensus Est,2.2087359098228663
Growth 2yr Low Est,1.3531327182068131
Growth 2yr High Est,0.9155374887082204
Growth 2yr Consensus Est,1.1343351034575169
Growth 5yr Low Est,0.9020884788045421
Growth 5yr High Est,0.6103583258054802
Growth 5yr Consensus Est,0.7562234023050111
Growth 5yr Actual/Est,0.37369737516333623
Growth 3yr Historic,0.1527850637904986
Price/Earnings (TTM),
Price/Sales (TTM),187.5123
Price/Book (MRQ),6.69975
Price/Cash Flow (TTM),
5yr Low,11.24
5yr High,278.25
5yr Avg Return,1.119275
Short Int Current Month,1704265.0
Short Int Prev Month,1622837.0
Short Int Pct of Float,0.0534422
Days to Cover,5.05636
Float,32.37363
Shares Outstanding,34.36278
Institutions Holding Shares,325.0
FCF Growth 5yr,0.31538749639873237
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-5.501900000000001
Net Profit Margin (TTM),-5.3891
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.09519999999999999
EPS Growth (TTM),-0.5258
Revenue Growth (MRQ),-0.9847
Revenue Growth (TTM),
Return On Equity (TTM),-0.268
Return On Assets (TTM),-0.2579
Return On Investment (TTM),-0.2665
Revenue Per Employee (TTM),358670.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-10-07 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
