,DOCU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),3.95,9.39,Valuation,0.4206602768903088
Price/Book (MRQ),22.7,12.63,Valuation,1.7973079968329373
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.779,0.7206,Profitability,1.0810435747987788
Operating Profit Margin (TTM),-0.038,0.2172,Profitability,-0.17495395948434622
Net Profit Margin (TTM),-0.04650000000000001,0.1553,Profitability,-0.29942047649710246
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.6391,-0.0752,Gowth rates,8.498670212765957
EPS Growth (TTM),0.3754,-0.2824,Gowth rates,-1.3293201133144477
Revenue Growth (MRQ),0.056900000000000006,0.15560000000000002,Gowth rates,0.36568123393316193
Revenue Growth (TTM),0.30219999999999997,0.1906,Gowth rates,1.5855194123819516
Return On Equity (TTM),-0.3508,0.2189,Effectiveness,-1.6025582457743262
Return On Assets (TTM),-0.0432,0.10740000000000001,Effectiveness,-0.40223463687150834
Return On Investment (TTM),-0.0901,0.1387,Effectiveness,-0.6496034607065609
Revenue Per Employee (TTM),313251.0,667721.0,Effectiveness,0.46913456368752815
Total Debt/Total Capital (MRQ),0.639,0.39659999999999995,Financial strength,1.6111951588502271
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002,0.0004,Financial strength,-3.2500000000000004
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-65.33,0.28,Financial strength,-233.32142857142856
