,DOCU
% Above Low,0.16329999999999997
% Held by Institutions,0.7348
52-Wk Range,['39.57 - 257.48']
Annual Dividend $,
Annual Dividend %,
Ask,46.02
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,45.87
Bid Size,200.0
Closing Price,46.03
Day Change $,-0.32
Day Change %,-0.0069
Day High,46.06
Day Low,44.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.9670000000000001
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,9.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,46.35
Short Interest,0.0647
Today's Open,46.05
Volume,1558134.0
Volume 10-day Avg,4480423.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.16201117318435754
Growth 1yr High Est,-0.08823529411764708
Growth 1yr Consensus Est,-0.1251232336510023
Growth 2yr Low Est,-0.017672253258845416
Growth 2yr High Est,0.11448450347881084
Growth 2yr Consensus Est,0.04840612510998271
Growth 5yr Low Est,-0.017672253258845416
Growth 5yr High Est,0.11448450347881084
Growth 5yr Consensus Est,0.04840612510998271
Growth 5yr Actual/Est,0.7705034213098729
Growth 3yr Historic,0.7758064516129032
Price/Earnings (TTM),
Price/Sales (TTM),3.9543
Price/Book (MRQ),22.69906
Price/Cash Flow (TTM),
5yr Low,35.06
5yr High,314.76
5yr Avg Return,0.38408000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.407512
Dividend Growth 5yr,
Short Int Current Month,12792494.0
Short Int Prev Month,15815371.0
Short Int Pct of Float,0.0646831
Days to Cover,2.29942
Float,197.7915
Shares Outstanding,200.7793
Institutions Holding Shares,997.0
FCF Growth 5yr,0.06229110164019117
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.779
Operating Profit Margin (TTM),-0.038
Net Profit Margin (TTM),-0.04650000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6391
EPS Growth (TTM),0.3754
Revenue Growth (MRQ),0.056900000000000006
Revenue Growth (TTM),0.30219999999999997
Return On Equity (TTM),-0.3508
Return On Assets (TTM),-0.0432
Return On Investment (TTM),-0.0901
Revenue Per Employee (TTM),313251.0
Total Debt/Total Capital (MRQ),0.639
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),-65.33
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-10 00:00:00
cfra since,2020-09-09 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-10 00:00:00
