,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,68.35,76.28,290.23,314.76,157.37,,,,,
low,35.06,38.8,64.88,131.51,39.57,,,,,
change,0.0547,0.8872,1.9915,-0.31510000000000005,-0.6979000000000001,,,,,
Date,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,504.0,509.0,638.0,637.0,Balance Sheet
Short Term Investments,,,,,,315.0,294.0,329.0,358.0,Balance Sheet
Cash and Short Term Invs,,,,,,818.0,803.0,968.0,995.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,312.0,447.0,306.0,345.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-6.0,-6.0,-5.0,-6.0,Balance Sheet
"Total Receivables, Net",,,,,,320.0,454.0,314.0,349.0,Balance Sheet
Prepaid Expenses,,,,,,68.0,63.0,79.0,79.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,0.0,0.0,1.0,1.0,Balance Sheet
Total Current Assets,,,,,,1207.0,1320.0,1363.0,1423.0,Balance Sheet
Buildings,,,,,,80.0,80.0,79.0,80.0,Balance Sheet
Machinery/Equipment,,,,,,196.0,210.0,217.0,222.0,Balance Sheet
Construction in Progress,,,,,,37.0,44.0,48.0,58.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,154.0,147.0,137.0,121.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,467.0,481.0,481.0,482.0,Balance Sheet
Accumulated Depreciation,,,,,,-156.0,-170.0,-181.0,-195.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,310.0,311.0,300.0,287.0,Balance Sheet
"Goodwill, Net",,,,,,355.0,355.0,354.0,353.0,Balance Sheet
Intangibles - Gross,,,,,,,209.0,,,Balance Sheet
Accum. Intangible Amort.,,,,,,,-110.0,,,Balance Sheet
Intangibles - Net,,,,,,103.0,99.0,87.0,81.0,Balance Sheet
Long Term Investments,,,,,,89.0,95.0,95.0,133.0,Balance Sheet
Note Rcvble - Long Term,,,,,,0.0,,,,Balance Sheet
Deferred Charges,,,,,,300.0,312.0,314.0,323.0,Balance Sheet
Restricted Cash - LT,,,,,,,,1.0,2.0,Balance Sheet
Other Long Term Assets,,,,,,45.0,50.0,60.0,66.0,Balance Sheet
Total Assets,,,,,,2411.0,2541.0,2574.0,2667.0,Balance Sheet
Accounts Payable,,,,,,48.0,53.0,26.0,44.0,Balance Sheet
Accrued Expenses,,,,,,261.0,289.0,268.0,284.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,12.0,0.0,0.0,,Balance Sheet
"Other Curr. Lblts, Total",,,,,,940.0,1030.0,1050.0,1074.0,Balance Sheet
Total Current Liabilities,,,,,,1260.0,1372.0,1344.0,1402.0,Balance Sheet
Total Long Term Debt,,,,,,719.0,718.0,720.0,721.0,Balance Sheet
Total Debt,,,,,,730.0,718.0,720.0,721.0,Balance Sheet
Deferred Income Tax,,,,,,6.0,9.0,9.0,10.0,Balance Sheet
"Other Liabilities, Total",,,,,,185.0,166.0,153.0,127.0,Balance Sheet
Total Liabilities,,,,,,2171.0,2266.0,2225.0,2260.0,Balance Sheet
Redeemable Preferred Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,1651.0,1720.0,1835.0,1969.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-1408.0,-1438.0,-1466.0,-1536.0,Balance Sheet
Treasury Stock - Common,,,,,,-2.0,-2.0,-2.0,-2.0,Balance Sheet
"Other Equity, Total",,,,,,-2.0,-5.0,-19.0,-24.0,Balance Sheet
Total Equity,,,,,,240.0,276.0,349.0,407.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,2411.0,2541.0,2574.0,2667.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,198.0,199.0,200.0,201.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,,,545.0,581.0,589.0,622.0,Income Statement
"Cost of Revenue, Total",,,,,,116.0,131.0,132.0,137.0,Income Statement
Selling/Gen/Admin Expense,,,,,,266.0,294.0,300.0,319.0,Income Statement
Labor & Related Expense,,,,,,64.0,69.0,63.0,81.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,330.0,363.0,363.0,400.0,Income Statement
Research & Development,,,,,,103.0,111.0,112.0,127.0,Income Statement
Impair-Assets Held for Use,,,,,,0.0,1.0,,,Income Statement
Other Unusual Expnse (In),,,,,,,0.0,,,Income Statement
Unusual Expense (Income),,,,,,0.0,1.0,,,Income Statement
Total Operating Expense,,,,,,549.0,606.0,608.0,663.0,Income Statement
Total Operating Income,,,,,,-3.0,-25.0,-19.0,-41.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-1.0,-2.0,-2.0,-2.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,0.0,0.0,0.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,-1.0,-3.0,-5.0,1.0,Income Statement
Income Before Tax,,,,,,-6.0,-29.0,-26.0,-42.0,Income Statement
Income Tax - Total,,,,,,0.0,1.0,2.0,3.0,Income Statement
Income After Tax,,,,,,-6.0,-30.0,-27.0,-45.0,Income Statement
Net Inc Before Extra Items,,,,,,-6.0,-30.0,-27.0,-45.0,Income Statement
Total Net Income,,,,,,-6.0,-30.0,-27.0,-45.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-6.0,-30.0,-27.0,-45.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-6.0,-30.0,-27.0,-45.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,198.0,199.0,200.0,201.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.03,-0.15,-0.14,-0.22,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.03,-0.15,-0.14,-0.22,Income Statement
Diluted Weighted Average Shares,,,,,,198.0,199.0,200.0,201.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.03,-0.15,-0.14,-0.22,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.03,-0.15,-0.14,-0.22,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,1.0,2.0,2.0,2.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,14.0,15.0,16.0,16.0,Income Statement
Total Special Items,,,,,,0.0,1.0,,0.0,Income Statement
Normalzd Income Before Tax,,,,,,-6.0,-28.0,-26.0,-42.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,0.0,0.0,,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,0.0,1.0,2.0,3.0,Income Statement
Normalized Income After Tax,,,,,,-6.0,-30.0,-27.0,-45.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-6.0,-30.0,-27.0,-45.0,Income Statement
Basic Normalized EPS,,,,,,-0.03,-0.15,-0.14,-0.22,Income Statement
Diluted Normalized EPS,,,,,,-0.03,-0.15,-0.14,-0.22,Income Statement
Date,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,,,,-40.0,-70.0,-27.0,-72.0,Cash Flow
Depreciation/Depletion,,,,,,61.0,82.0,21.0,42.0,Cash Flow
Deferred Taxes,,,,,,-2.0,1.0,0.0,3.0,Cash Flow
Unusual Items,,,,,,,0.0,,,Cash Flow
Other Non-Cash Items,,,,,,421.0,595.0,167.0,366.0,Cash Flow
Non-Cash Items,,,,,,421.0,595.0,167.0,366.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,6.0,7.0,2.0,4.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,0.0,0.0,0.0,0.0,Cash Flow
Accounts Receivable,,,,,,20.0,-112.0,139.0,101.0,Cash Flow
Prepaid Expenses,,,,,,-13.0,-7.0,-16.0,-16.0,Cash Flow
Other Assets,,,,,,-162.0,-224.0,-57.0,-116.0,Cash Flow
Accounts Payable,,,,,,7.0,12.0,-23.0,-5.0,Cash Flow
Accrued Expenses,,,,,,-35.0,-21.0,-26.0,-28.0,Cash Flow
Changes in Working Capital,,,,,,-22.0,-102.0,35.0,-21.0,Cash Flow
Total Cash from Operations,,,,,,419.0,506.0,196.0,317.0,Cash Flow
Capital Expenditures,,,,,,-44.0,-61.0,-22.0,-37.0,Cash Flow
Acquisition of Business,,,,,,-6.0,-6.0,,0.0,Cash Flow
Sale/Maturity of Investment,,,,,,196.0,291.0,91.0,190.0,Cash Flow
Purchase of Investments,,,,,,-304.0,-386.0,-132.0,-299.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-114.0,-102.0,-41.0,-109.0,Cash Flow
Total Cash from Investing,,,,,,-158.0,-163.0,-63.0,-146.0,Cash Flow
Financing Cash Flow Items,,,,,,-323.0,-387.0,-25.0,-44.0,Cash Flow
Repurch/Retirmnt Common/Preferred,,,,,,,,,-25.0,Cash Flow
Options Exercised,,,,,,67.0,70.0,26.0,35.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,67.0,70.0,26.0,10.0,Cash Flow
Long Term Debt Issued,,,,,,,0.0,,,Cash Flow
Long Term Debt Reduction,,,,,,-65.0,-78.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-65.0,-78.0,0.0,0.0,Cash Flow
Total Cash From Financing,,,,,,-321.0,-395.0,1.0,-34.0,Cash Flow
Foreign Exchange Effects,,,,,,-2.0,-6.0,-5.0,-8.0,Cash Flow
Net Change in Cash,,,,,,-62.0,-57.0,130.0,129.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,566.0,566.0,510.0,510.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,504.0,510.0,640.0,639.0,Cash Flow
"Depreciation, Supplemental",,,,,,61.0,82.0,21.0,42.0,Cash Flow
Free Cash Flow,,,,,,375.0,445.0,174.0,280.0,
FCF Growth,,,,,,,0.18666666666666676,-0.6089887640449438,0.6091954022988506,
