,CC
% Above Low,0.45299999999999996
% Held by Institutions,0.7425
52-Wk Range,['22.56 - 44.95']
Annual Dividend $,1.0
Annual Dividend %,0.0305
Ask,34.37
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.9
Bid,31.31
Bid Size,300.0
Closing Price,32.78
Day Change $,-0.06
Day Change %,-0.0018
Day High,32.84
Day Low,32.27
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.61
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.525
Last (size),911.0
Last (time),5:00p ET 11/25/22
Market Cap,4.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.85
Prev Close,32.84
Short Interest,0.0338
Today's Open,32.64
Volume,608179.0
Volume 10-day Avg,1129346.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.2253164556962024
Growth 1yr High Est,0.2440191387559809
Growth 1yr Consensus Est,0.23466779722609166
Growth 2yr Low Est,-0.033002929176692175
Growth 2yr High Est,0.1104711078395289
Growth 2yr Consensus Est,0.038734089331418364
Growth 5yr Low Est,0.15914508713579187
Growth 5yr High Est,0.1937113903509912
Growth 5yr Consensus Est,0.17642823874339153
Growth 5yr Actual/Est,0.24310843462253953
Growth 3yr Historic,0.20226166042899116
Price/Earnings (TTM),5.84555
Price/Sales (TTM),0.70361
Price/Book (MRQ),3.90804
Price/Cash Flow (TTM),4.12257
5yr Low,7.02
5yr High,54.62
5yr Avg Return,-0.032716666666666665
EPS Growth 5yr,1.483343
Revenue Growth 5yr,0.0327794
Dividend Growth 5yr,0.5281421000000001
Short Int Current Month,5048739.0
Short Int Prev Month,4765314.0
Short Int Pct of Float,0.0338367
Days to Cover,3.95441
Float,149.2975
Shares Outstanding,150.9177
Institutions Holding Shares,605.0
FCF Growth 5yr,-0.5204838740142607
"Price/Earnings (TTM, GAAP)",5.85
"PEG Ratio (TTM, GAAP)",0.4
Gross Profit Margin (TTM),0.2571
Operating Profit Margin (TTM),0.1409
Net Profit Margin (TTM),0.1291
Annual Dividend Yield,0.0305
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.059800000000000006
EPS Growth (MRQ),0.2078
EPS Growth (TTM),1.4012
Revenue Growth (MRQ),-0.0721
Revenue Growth (TTM),0.1509
Return On Equity (TTM),0.7958
Return On Assets (TTM),0.1189
Return On Investment (TTM),0.1573
Revenue Per Employee (TTM),1098594.0
Total Debt/Total Capital (MRQ),0.7334
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),1.14
Interest Coverage (MRQ),22.67
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
cfra since,2022-06-08 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-05-04 00:00:00
