,CC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.85,20.13,Valuation,0.2906110283159463
Price/Sales (TTM),0.7,3.27,Valuation,0.21406727828746175
Price/Book (MRQ),3.91,5.58,Valuation,0.7007168458781362
"PEG Ratio (TTM, GAAP)",0.4,0.12,Valuation,3.3333333333333335
Gross Profit Margin (TTM),0.2571,0.3453,Profitability,0.7445699391833188
Operating Profit Margin (TTM),0.1409,0.0535,Profitability,2.633644859813084
Net Profit Margin (TTM),0.1291,0.0204,Profitability,6.328431372549018
Annual Dividend Yield,0.0305,0.0188,Dividend,1.6223404255319147
Dividend Change %,0.0,0.102,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.059800000000000006,0.06910000000000001,Dividend,0.8654124457308249
EPS Growth (MRQ),0.2078,-0.6111,Gowth rates,-0.34004254622811325
EPS Growth (TTM),1.4012,1.725,Gowth rates,0.8122898550724638
Revenue Growth (MRQ),-0.0721,0.212,Gowth rates,-0.3400943396226415
Revenue Growth (TTM),0.1509,0.23420000000000002,Gowth rates,0.6443210930828351
Return On Equity (TTM),0.7958,0.2206,Effectiveness,3.6074342701722575
Return On Assets (TTM),0.1189,0.06420000000000001,Effectiveness,1.85202492211838
Return On Investment (TTM),0.1573,0.08410000000000001,Effectiveness,1.8703923900118904
Revenue Per Employee (TTM),1098594.0,817013.0,Effectiveness,1.3446469028032602
Total Debt/Total Capital (MRQ),0.7334,0.4105,Financial strength,1.7866017052375154
Change in Debt/Total Capital Quarter over Quarter,-0.0011,0.001,Financial strength,-1.1
Quick Ratio (MRQ),1.14,1.18,Financial strength,0.9661016949152542
Interest Coverage (MRQ),22.67,26.2,Financial strength,0.8652671755725192
