,AME
% Below High,0.0371
% Held by Institutions,0.8729
52-Wk Range,['106.17 - 148.07']
Annual Dividend $,0.88
Annual Dividend %,0.0062
Ask,143.18
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,109.2
Bid Size,100.0
Closing Price,142.57
Day Change $,0.49
Day Change %,0.0034000000000000002
Day High,143.07
Day Low,141.95
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",4.89
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.24600000000000002
Last (size),5700.0
Last (time),5:00p ET 11/25/22
Market Cap,32.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.16
Prev Close,142.08
Short Interest,0.0096
Today's Open,142.59
Volume,359948.0
Volume 10-day Avg,874740.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.1761006289308178
Growth 1yr High Est,0.1649484536082475
Growth 1yr Consensus Est,0.17052454126953265
Growth 2yr Low Est,0.10498436081121987
Growth 2yr High Est,0.13291670468022987
Growth 2yr Consensus Est,0.11895053274572487
Growth 5yr Low Est,0.09509113964887742
Growth 5yr High Est,0.1102193375954611
Growth 5yr Consensus Est,0.10265523862216926
Growth 5yr Actual/Est,0.09794609275563898
Growth 3yr Historic,0.042642216247243236
Price/Earnings (TTM),29.16448
Price/Sales (TTM),5.43108
Price/Book (MRQ),4.5904
Price/Cash Flow (TTM),22.69439
5yr Low,54.82
5yr High,148.07
5yr Avg Return,0.13943333333333333
EPS Growth 5yr,0.141806
Revenue Growth 5yr,0.0763061
Dividend Growth 5yr,0.1731607
Short Int Current Month,2190258.0
Short Int Prev Month,2066889.0
Short Int Pct of Float,0.0095902
Days to Cover,1.72001
Float,228.5368
Shares Outstanding,229.6544
Institutions Holding Shares,1033.0
FCF Growth 5yr,0.3799190319200448
"Price/Earnings (TTM, GAAP)",29.16
"PEG Ratio (TTM, GAAP)",2.92
Annual Dividend Yield,0.0062
Dividend Change %,0.11109999999999999
"Dividend Growth Rate, 3 Years",0.1262
EPS Growth (MRQ),0.0565
EPS Growth (TTM),0.2231
Revenue Growth (MRQ),0.0246
Revenue Growth (TTM),0.1501
Return On Equity (TTM),0.16570000000000001
Return On Assets (TTM),0.0956
Return On Investment (TTM),0.1107
Revenue Per Employee (TTM),325871.0
Total Debt/Total Capital (MRQ),0.2484
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),0.88
Interest Coverage (MRQ),18.99
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-20 00:00:00
cfra since,2022-02-04 00:00:00
ford since,2022-03-11 00:00:00
marketEdge opinion since,
marketEdge since,2009-04-30 00:00:00
