,UBER,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.96,Valuation,
Price/Sales (TTM),1.96,3.76,Valuation,0.5212765957446809
Price/Book (MRQ),9.08,7.0,Valuation,1.2971428571428572
"PEG Ratio (TTM, GAAP)",,3.13,Valuation,
Gross Profit Margin (TTM),0.318,0.5844,Profitability,0.5441478439425051
Operating Profit Margin (TTM),-0.08289999999999999,0.2133,Profitability,-0.38865447726207214
Net Profit Margin (TTM),-0.3069,0.1038,Profitability,-2.9566473988439306
Annual Dividend Yield,,0.013000000000000001,Dividend,
Dividend Change %,,0.09210000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.09480000000000001,Dividend,
EPS Growth (MRQ),0.5398,0.3065,Gowth rates,1.761174551386623
EPS Growth (TTM),-2.4973,0.0956,Gowth rates,-26.122384937238493
Revenue Growth (MRQ),0.0334,0.2373,Gowth rates,0.14075010535187527
Revenue Growth (TTM),0.9571,0.2979,Gowth rates,3.2128230949983214
Return On Equity (TTM),-0.8767,0.1677,Effectiveness,-5.22778771615981
Return On Assets (TTM),-0.2622,0.065,Effectiveness,-4.033846153846153
Return On Investment (TTM),-0.3613,0.06480000000000001,Effectiveness,-5.575617283950616
Revenue Per Employee (TTM),991399.0,723294.0,Effectiveness,1.3706722301028351
Total Debt/Total Capital (MRQ),0.556,0.5356000000000001,Financial strength,1.0380881254667662
Change in Debt/Total Capital Quarter over Quarter,0.0018,0.0005,Financial strength,3.5999999999999996
Quick Ratio (MRQ),,0.75,Financial strength,
Interest Coverage (MRQ),-0.27,13.38,Financial strength,-0.020179372197309416
