,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,47.08,56.02,64.05,45.9,,,,,
low,25.58,13.71,34.88,19.9,,,,,
change,-0.2919,0.7034,-0.19710000000000003,-0.3465,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,4295.0,4184.0,4397.0,4865.0,Balance Sheet
Short Term Investments,,,,,0.0,,,,Balance Sheet
Cash and Short Term Invs,,,,,4295.0,4184.0,4397.0,4865.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,2490.0,2540.0,2532.0,2548.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-51.0,-64.0,-73.0,-80.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,2439.0,2476.0,2459.0,2468.0,Balance Sheet
Other Receivables,,,,,553.0,615.0,615.0,624.0,Balance Sheet
"Total Receivables, Net",,,,,2992.0,3091.0,3074.0,3092.0,Balance Sheet
Prepaid Expenses,,,,,459.0,355.0,250.0,328.0,Balance Sheet
Restricted Cash - Current,,,,,631.0,543.0,526.0,593.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,0.0,,,,Balance Sheet
Other Current Assets,,,,,442.0,492.0,504.0,490.0,Balance Sheet
"Other Curr. Assets, Total",,,,,1073.0,1035.0,1030.0,1083.0,Balance Sheet
Total Current Assets,,,,,8819.0,8665.0,8751.0,9368.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,3241.0,3292.0,3342.0,3347.0,Balance Sheet
"Goodwill, Net",,,,,8420.0,8435.0,8359.0,8300.0,Balance Sheet
Intangibles - Gross,,,,,3032.0,3022.0,3005.0,2997.0,Balance Sheet
Accum. Intangible Amort.,,,,,-620.0,-753.0,-883.0,-1005.0,Balance Sheet
Intangibles - Net,,,,,2412.0,2269.0,2122.0,1992.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,800.0,624.0,521.0,902.0,Balance Sheet
LT Investments - Other,,,,,11806.0,6247.0,4572.0,3643.0,Balance Sheet
Long Term Investments,,,,,12606.0,6871.0,5093.0,4545.0,Balance Sheet
Other Long Term Assets,,,,,397.0,415.0,406.0,384.0,Balance Sheet
