,UBER
% Above Low,0.39530000000000004
% Held by Institutions,0.7097
52-Wk Range,['19.90 - 45.90']
Annual Dividend $,
Annual Dividend %,
Ask,27.88
Ask Size,1800.0
B/A Ratio,0.05555555555555555
B/A Size,100x1800
Beta,1.1
Bid,27.75
Bid Size,100.0
Closing Price,27.76
Day Change $,-0.74
Day Change %,-0.026000000000000002
Day High,28.66
Day Low,27.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.51
Ex-dividend Date,No dividend
Historical Volatility,0.6509999999999999
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,55.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,28.5
Short Interest,0.0235
Today's Open,28.11
Volume,11126985.0
Volume 10-day Avg,21267196.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.43614457831325293
Growth 1yr High Est,0.23123123123123102
Growth 1yr Consensus Est,0.33368790477224197
Growth 2yr Low Est,-0.12420959003800441
Growth 2yr High Est,-0.4502380429209699
Growth 2yr Consensus Est,-0.28722381647948714
Growth 5yr Low Est,-0.18873975340187973
Growth 5yr High Est,-0.2994861100680799
Growth 5yr Consensus Est,-0.24411293173497983
Growth 5yr Actual/Est,0.4848183429971768
Growth 3yr Historic,-0.2935297832355649
Price/Earnings (TTM),
Price/Sales (TTM),1.95678
Price/Book (MRQ),9.08056
Price/Cash Flow (TTM),
5yr Low,13.71
5yr High,64.05
5yr Avg Return,-0.033024999999999985
EPS Growth 5yr,
Revenue Growth 5yr,0.35333309999999996
Dividend Growth 5yr,
Short Int Current Month,46378722.0
Short Int Prev Month,46811179.0
Short Int Pct of Float,0.023455499999999997
Days to Cover,1.33765
Float,1987.814
Shares Outstanding,1994.407
Institutions Holding Shares,1399.0
FCF Growth 5yr,-2.6465711726495504
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.318
Operating Profit Margin (TTM),-0.08289999999999999
Net Profit Margin (TTM),-0.3069
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5398
EPS Growth (TTM),-2.4973
Revenue Growth (MRQ),0.0334
Revenue Growth (TTM),0.9571
Return On Equity (TTM),-0.8767
Return On Assets (TTM),-0.2622
Return On Investment (TTM),-0.3613
Revenue Per Employee (TTM),991399.0
Total Debt/Total Capital (MRQ),0.556
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.27
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-08-10 00:00:00
theStreet since,2020-08-10 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-05-04 00:00:00
ford since,2022-06-10 00:00:00
marketEdge opinion since,
