,ERAS
% Above Low,0.5543
% Held by Institutions,0.7822
52-Wk Range,['4.51 - 16.69']
Annual Dividend $,
Annual Dividend %,
Ask,7.16
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,5.75
Bid Size,200.0
Closing Price,7.01
Day Change $,0.0
Day Change %,0.0
Day High,7.46
Day Low,6.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.15
Ex-dividend Date,No dividend
Historical Volatility,0.798
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,857.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.01
Short Interest,0.1704
Today's Open,7.01
Volume,227619.0
Volume 10-day Avg,686129.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1900826446280992
Growth 2yr High Est,0.13445378151260523
Growth 2yr Consensus Est,0.16226821307035222
Growth 5yr Low Est,0.1900826446280992
Growth 5yr High Est,0.13445378151260523
Growth 5yr Consensus Est,0.16226821307035222
Growth 5yr Actual/Est,-0.09234234234234234
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.32231
Price/Cash Flow (TTM),
5yr Low,4.51
5yr High,24.47
5yr Avg Return,-0.282
Short Int Current Month,15968895.0
Short Int Prev Month,16637408.0
Short Int Pct of Float,0.1704148
Days to Cover,24.33689
Float,100.1941
Shares Outstanding,122.3616
Institutions Holding Shares,127.0
FCF Growth 5yr,0.23946293995835677
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0083
EPS Growth (TTM),0.1627
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.3254
Return On Assets (TTM),-0.2851
Return On Investment (TTM),-0.2997
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
