,CMAX
% Above Low,0.1937
% Held by Institutions,0.7195999999999999
52-Wk Range,['3.45 - 9.23']
Annual Dividend $,
Annual Dividend %,
Ask,4.21
Ask Size,200.0
B/A Ratio,4.5
B/A Size,900x200
Beta,
Bid,3.51
Bid Size,900.0
Closing Price,4.12
Day Change $,0.01
Day Change %,0.0024
Day High,4.15
Day Low,3.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.8890000000000001
Last (size),29.0
Last (time),12:59p ET 11/25/22
Market Cap,456.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.11
Short Interest,0.0641
Today's Open,4.08
Volume,62714.0
Volume 10-day Avg,788105.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6166666666666667
Growth 2yr High Est,-0.75
Growth 2yr Consensus Est,-0.6833333333333333
Growth 5yr Low Est,-0.6166666666666667
Growth 5yr High Est,-0.75
Growth 5yr Consensus Est,-0.6833333333333333
Growth 5yr Actual/Est,1.4660256410256407
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.61533
Price/Book (MRQ),0.76742
Price/Cash Flow (TTM),
5yr Low,3.45
5yr High,18.42
5yr Avg Return,-0.13216666666666668
Short Int Current Month,3217524.0
Short Int Prev Month,4390597.0
Short Int Pct of Float,0.0641378
Days to Cover,7.55891
Float,53.66028
Shares Outstanding,87.39697
Institutions Holding Shares,113.0
FCF Growth 5yr,0.3812933505328426
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1276
Operating Profit Margin (TTM),-0.0714
Net Profit Margin (TTM),-0.0885
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.3511000000000002
EPS Growth (TTM),0.2994
Revenue Growth (MRQ),-0.0848
Revenue Growth (TTM),2.2976
Return On Equity (TTM),-0.10619999999999999
Return On Assets (TTM),-0.07540000000000001
Return On Investment (TTM),-0.0787
Revenue Per Employee (TTM),460768.0
Total Debt/Total Capital (MRQ),0.2821
Change in Debt/Total Capital Quarter over Quarter,0.0046
Quick Ratio (MRQ),4.78
Interest Coverage (MRQ),-0.6
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-07 00:00:00
ford since,2022-07-01 00:00:00
cfra since,
theStreet since,2022-09-07 00:00:00
newConstructs since,
marketEdge opinion since,
