,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,16.97,18.42,9.23,,,,,
low,9.9,5.92,3.45,,,,,
change,0.5758,-0.5074000000000001,-0.46490000000000004,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,48.0,33.0,68.0,53.0,Balance Sheet
"Total Receivables, Net",,,,42.0,54.0,73.0,86.0,Balance Sheet
Total Inventory,,,,1.0,1.0,1.0,1.0,Balance Sheet
Prepaid Expenses,,,,17.0,20.0,22.0,22.0,Balance Sheet
"Other Curr. Assets, Total",,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Current Assets,,,,108.0,108.0,164.0,162.0,Balance Sheet
Buildings,,,,8.0,8.0,8.0,10.0,Balance Sheet
Machinery/Equipment,,,,4.0,7.0,7.0,7.0,Balance Sheet
Construction in Progress,,,,2.0,4.0,4.0,2.0,Balance Sheet
Other Prop./Plant/Equip.,,,,8.0,6.0,7.0,8.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,22.0,24.0,26.0,27.0,Balance Sheet
Accumulated Depreciation,,,,-6.0,-7.0,-8.0,-9.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,16.0,17.0,17.0,18.0,Balance Sheet
"Goodwill, Net",,,,465.0,464.0,465.0,465.0,Balance Sheet
Intangibles - Gross,,,,71.0,71.0,71.0,71.0,Balance Sheet
Accum. Intangible Amort.,,,,-11.0,-15.0,-19.0,-23.0,Balance Sheet
Intangibles - Net,,,,60.0,56.0,52.0,48.0,Balance Sheet
Other Long Term Assets,,,,3.0,3.0,8.0,11.0,Balance Sheet
Total Assets,,,,653.0,649.0,709.0,707.0,Balance Sheet
Accounts Payable,,,,3.0,5.0,9.0,13.0,Balance Sheet
Accrued Expenses,,,,9.0,12.0,14.0,17.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,6.0,6.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,4.0,4.0,4.0,4.0,Balance Sheet
Total Current Liabilities,,,,22.0,28.0,27.0,34.0,Balance Sheet
Total Long Term Debt,,,,111.0,110.0,182.0,184.0,Balance Sheet
Total Debt,,,,117.0,116.0,182.0,184.0,Balance Sheet
"Other Liabilities, Total",,,,15.0,19.0,12.0,20.0,Balance Sheet
Total Liabilities,,,,148.0,157.0,221.0,238.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,505.0,509.0,514.0,517.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,0.0,-17.0,-26.0,-48.0,Balance Sheet
"Other Equity, Total",,,,0.0,0.0,,,Balance Sheet
Total Equity,,,,505.0,492.0,488.0,469.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,653.0,649.0,709.0,707.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,87.0,87.0,87.0,87.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,118306.0,136920.0,172279.0,157670.0,Income Statement
"Cost of Revenue, Total",,,,102468.0,120205.0,150712.0,137113.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,18930.0,22279.0,20362.0,24042.0,Income Statement
Depreciation/Amortization,,,,6089.0,5062.0,4903.0,4573.0,Income Statement
Unusual Expense (Income),,,,501.0,266.0,8961.0,494.0,Income Statement
"Other Operat Expse, Total",,,,,-1.0,1.0,,Income Statement
Total Operating Expense,,,,127988.0,147811.0,184939.0,166222.0,Income Statement
Total Operating Income,,,,-9682.0,-10891.0,-12660.0,-8552.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,-1905.0,-1728.0,-3896.0,-6076.0,Income Statement
Gain(Loss)on Sale of Assets,,,,-50.0,,,,Income Statement
"Other, Net",,,,-495.0,-462.0,-45.0,87.0,Income Statement
Income Before Tax,,,,-3397.0,-16617.0,-9210.0,-21872.0,Income Statement
Income Tax - Total,,,,159.0,181.0,171.0,181.0,Income Statement
Income After Tax,,,,-3556.0,-16798.0,-9381.0,-22053.0,Income Statement
Net Inc Before Extra Items,,,,-3556.0,-16798.0,-9381.0,-22053.0,Income Statement
Total Net Income,,,,-3556.0,-16798.0,-9381.0,-22053.0,Income Statement
Total Adjust to Net Income,,,,1.0,1.0,,,Income Statement
Income Available to Common Excl. Extra. Items,,,,-3555.0,-16797.0,-9381.0,-22053.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-3555.0,-16797.0,-9381.0,-22053.0,Income Statement
Basic/Primary Weighted Average Shares,,,,87942.0,87368.0,87423.0,87409.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.04,-0.19,-0.11,-0.25,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.04,-0.19,-0.11,-0.25,Income Statement
Diluted Weighted Average Shares,,,,87942.0,87368.0,87423.0,87409.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.04,-0.19,-0.11,-0.25,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.04,-0.19,-0.11,-0.25,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,1156.0,1162.0,1203.0,900.0,Income Statement
Total Special Items,,,,551.0,266.0,8961.0,494.0,Income Statement
Normalzd Income Before Tax,,,,-2846.0,-16351.0,-249.0,-21378.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,193.0,93.0,3136.0,173.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,352.0,274.0,3307.0,354.0,Income Statement
Normalized Income After Tax,,,,-3198.0,-16625.0,-3556.0,-21732.0,Income Statement
Normalzd Inc Avail to Common,,,,-3197.0,-16624.0,-3556.0,-21732.0,Income Statement
Basic Normalized EPS,,,,-0.04,-0.19,-0.04,-0.25,Income Statement
Diluted Normalized EPS,,,,-0.04,-0.19,-0.04,-0.25,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Depreciation/Depletion,,,,2813.0,5062.0,9965.0,14538.0,Cash Flow
Amortization,,,,10402.0,,,,Cash Flow
Unusual Items,,,,-28181.0,3536.0,2317.0,9648.0,Cash Flow
Other Non-Cash Items,,,,-4137.0,-15130.0,-20061.0,-36855.0,Cash Flow
Non-Cash Items,,,,-32318.0,-11594.0,-17744.0,-27207.0,Cash Flow
Accounts Receivable,,,,-3836.0,-10992.0,-29976.0,-43109.0,Cash Flow
Inventories,,,,-85.0,-152.0,-365.0,-361.0,Cash Flow
Prepaid Expenses,,,,-768.0,-475.0,-139.0,292.0,Cash Flow
Other Assets,,,,-1501.0,-52.0,-105.0,-1037.0,Cash Flow
Accounts Payable,,,,-984.0,1470.0,5273.0,9291.0,Cash Flow
Accrued Expenses,,,,1071.0,3675.0,4910.0,6705.0,Cash Flow
Changes in Working Capital,,,,-4753.0,-5607.0,-19619.0,-27142.0,Cash Flow
Total Cash from Operations,,,,-23856.0,-12139.0,-27398.0,-39811.0,Cash Flow
Purchase of Fixed Assets,,,,-3990.0,-1467.0,-2893.0,-4862.0,Cash Flow
Purchase/Acq of Intangibles,,,,-2882.0,,,,Cash Flow
Capital Expenditures,,,,-6872.0,-1467.0,-2893.0,-4862.0,Cash Flow
Acquisition of Business,,,,-309707.0,,,-892.0,Cash Flow
Other Investing Cash Flow,,,,0.0,,,785.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-309707.0,,,-107.0,Cash Flow
Total Cash from Investing,,,,-316579.0,-1467.0,-2893.0,-4969.0,Cash Flow
Financing Cash Flow Items,,,,-128384.0,,-11614.0,-11895.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,415000.0,,,,Cash Flow
Long Term Debt Issued,,,,125000.0,,184000.0,184000.0,Cash Flow
Long Term Debt Reduction,,,,-28198.0,-1570.0,-121881.0,-121926.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,96802.0,-1570.0,62119.0,62074.0,Cash Flow
Total Cash From Financing,,,,383418.0,-1570.0,50505.0,50179.0,Cash Flow
Net Change in Cash,,,,42983.0,-15176.0,20214.0,5399.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,4934.0,47917.0,47917.0,47917.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,47917.0,32740.0,68130.0,53315.0,Cash Flow
"Depreciation, Supplemental",,,,2813.0,5062.0,9965.0,14538.0,Cash Flow
Free Cash Flow,,,,-30728.0,-13606.0,-30291.0,-44673.0,
FCF Growth,,,,,-0.5572116636292632,1.2262972218139057,0.47479449341388524,
