,CMAX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),0.62,1.32,Valuation,0.46969696969696967
Price/Book (MRQ),0.77,4.31,Valuation,0.1786542923433875
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.1276,0.1318,Profitability,0.968133535660091
Operating Profit Margin (TTM),-0.0714,0.0458,Profitability,-1.5589519650655024
Net Profit Margin (TTM),-0.0885,0.0242,Profitability,-3.6570247933884295
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-1.3511000000000002,-0.1478,Gowth rates,9.141407307171855
EPS Growth (TTM),0.2994,-1.101,Gowth rates,-0.27193460490463217
Revenue Growth (MRQ),-0.0848,0.0931,Gowth rates,-0.9108485499462943
Revenue Growth (TTM),2.2976,0.1191,Gowth rates,19.29135180520571
Return On Equity (TTM),-0.10619999999999999,7.2022,Effectiveness,-0.014745494432256808
Return On Assets (TTM),-0.07540000000000001,0.0403,Effectiveness,-1.870967741935484
Return On Investment (TTM),-0.0787,0.016,Effectiveness,-4.91875
Revenue Per Employee (TTM),460768.0,1375304.0,Effectiveness,0.3350299279286616
Total Debt/Total Capital (MRQ),0.2821,0.4855,Financial strength,0.5810504634397529
Change in Debt/Total Capital Quarter over Quarter,0.0046,0.0015,Financial strength,3.0666666666666664
Quick Ratio (MRQ),4.78,0.31,Financial strength,15.419354838709678
Interest Coverage (MRQ),-0.6,9.55,Financial strength,-0.06282722513089005
