,HLLY
% Above Low,0.1528
% Held by Institutions,0.8782
52-Wk Range,['2.29 - 14.68']
Annual Dividend $,
Annual Dividend %,
Ask,2.7
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,2.32
Bid Size,100.0
Closing Price,2.64
Day Change $,-0.03
Day Change %,-0.011200000000000002
Day High,2.71
Day Low,2.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.61
Ex-dividend Date,No dividend
Historical Volatility,0.784
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,312.2M
"P/E Ratio (TTM, GAAP)",4.33
Prev Close,2.67
Short Interest,0.06269999999999999
Today's Open,2.7
Volume,104868.0
Volume 10-day Avg,1283739.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.640625
Growth 1yr High Est,-0.5694444444444444
Growth 1yr Consensus Est,-0.6050347222222222
Growth 2yr Low Est,-0.18987771739130443
Growth 2yr High Est,0.15076164874551967
Growth 2yr Consensus Est,-0.01955803432289238
Growth 5yr Low Est,-0.18987771739130443
Growth 5yr High Est,0.15076164874551967
Growth 5yr Consensus Est,-0.01955803432289238
Growth 5yr Actual/Est,-0.045088566827697296
Growth 3yr Historic,0.0
Price/Earnings (TTM),4.33305
Price/Sales (TTM),0.43717
Price/Book (MRQ),0.73938
Price/Cash Flow (TTM),3.20784
5yr Low,2.29
5yr High,14.68
5yr Avg Return,-0.1598666666666667
Short Int Current Month,3094265.0
Short Int Prev Month,4252152.0
Short Int Pct of Float,0.06270629999999999
Days to Cover,2.87588
Float,107.1598
Shares Outstanding,118.2418
Institutions Holding Shares,144.0
FCF Growth 5yr,-0.028998042909478234
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",4.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3937
Operating Profit Margin (TTM),0.10470000000000002
Net Profit Margin (TTM),0.09949999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.22039999999999998
EPS Growth (TTM),10.9799
Revenue Growth (MRQ),-0.1374
Revenue Growth (TTM),0.09609999999999999
Return On Equity (TTM),0.1924
Return On Assets (TTM),0.0593
Return On Investment (TTM),0.0647
Revenue Per Employee (TTM),414905.0
Total Debt/Total Capital (MRQ),0.6054
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.98
Interest Coverage (MRQ),0.64
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-08-12 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
