,ADS
% Above Low,0.3712
% Held by Institutions,0.9678
52-Wk Range,['28.85 - 76.50']
Annual Dividend $,0.84
Annual Dividend %,0.0212
Ask,45.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.0
Bid,14.59
Bid Size,100.0
Closing Price,39.56
Day Change $,-0.07
Day Change %,-0.0018
Day High,39.76
Day Low,39.36
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",8.16
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.527
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",4.85
Prev Close,39.63
Short Interest,0.0762
Today's Open,39.76
Volume,146877.0
Volume 10-day Avg,615273.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.7766423357664234
Growth 1yr High Est,-0.5701398285972035
Growth 1yr Consensus Est,-0.6733910821818134
Growth 2yr Low Est,0.054489289633128046
Growth 2yr High Est,0.06382830186089461
Growth 2yr Consensus Est,0.05915879574701133
Growth 5yr Low Est,0.015920603004717315
Growth 5yr High Est,0.06383175011661213
Growth 5yr Consensus Est,0.03987617656066472
Growth 5yr Actual/Est,0.2352942434743445
Growth 3yr Historic,0.08966262209445208
Price/Earnings (TTM),4.84547
Price/Sales (TTM),0.48817
Price/Book (MRQ),0.82121
Price/Cash Flow (TTM),4.09168
5yr Low,20.51
5yr High,278.33
5yr Avg Return,-0.22885000000000003
EPS Growth 5yr,0.1654332
Revenue Growth 5yr,-0.1252963
Dividend Growth 5yr,0.1006651
Short Int Current Month,3780359.0
Short Int Prev Month,3039567.0
Short Int Pct of Float,0.076206
Days to Cover,2.10823
Float,49.63303
Shares Outstanding,49.85307
Institutions Holding Shares,373.0
FCF Growth 5yr,0.21624240436220732
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
cfra since,2021-01-29 00:00:00
ford since,2022-03-25 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-10-28 00:00:00
marketEdge opinion since,
