,HPQ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.01,22.87,Valuation,0.43769129864451245
Price/Sales (TTM),0.48,5.73,Valuation,0.0837696335078534
Price/Book (MRQ),,44.1,Valuation,
"PEG Ratio (TTM, GAAP)",6.6,2.57,Valuation,2.568093385214008
Gross Profit Margin (TTM),0.19579999999999997,0.4263,Profitability,0.45930096176401586
Operating Profit Margin (TTM),0.0742,0.2867,Profitability,0.25880711545169166
Net Profit Margin (TTM),0.0509,0.23690000000000003,Profitability,0.2148585901224145
Annual Dividend Yield,0.0348,0.0074,Dividend,4.702702702702702
Dividend Change %,0.29,0.0593,Dividend,4.890387858347386
"Dividend Growth Rate, 3 Years",0.1604,0.0618,Dividend,2.59546925566343
EPS Growth (MRQ),-1.0019,0.0139,Gowth rates,-72.07913669064749
EPS Growth (TTM),-0.4476,0.0891,Gowth rates,-5.023569023569023
Revenue Growth (MRQ),0.009300000000000001,0.0784,Gowth rates,0.11862244897959186
Revenue Growth (TTM),-0.0079,0.0893,Gowth rates,-0.08846584546472565
Return On Equity (TTM),,1.7101,Effectiveness,
Return On Assets (TTM),0.083,0.27030000000000004,Effectiveness,0.30706622271550127
Return On Investment (TTM),0.2919,0.45,Effectiveness,0.6486666666666666
Revenue Per Employee (TTM),,2289443.0,Effectiveness,
Total Debt/Total Capital (MRQ),1.3604,0.7151000000000001,Financial strength,1.9023912739476996
Change in Debt/Total Capital Quarter over Quarter,0.0047,-0.0004,Financial strength,-11.75
Quick Ratio (MRQ),0.47,0.84,Financial strength,0.5595238095238095
Interest Coverage (MRQ),11.04,317.99,Financial strength,0.03471807289537406
