,HPQ
% Above Low,0.2523
% Held by Institutions,0.8
52-Wk Range,['24.08 - 41.47']
Annual Dividend $,1.05
Annual Dividend %,0.0348
Ask,31.99
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,1.0
Bid,30.15
Bid Size,400.0
Closing Price,30.15
Day Change $,0.24
Day Change %,0.008
Day High,30.74
Day Low,29.71
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",3.01
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.418
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,30.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.01
Prev Close,29.91
Short Interest,0.0361
Today's Open,29.8
Volume,5959306.0
Volume 10-day Avg,10710836.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.22029702970297027
Growth 1yr High Est,-0.15853658536585358
Growth 1yr Consensus Est,-0.18941680753441192
Growth 2yr Low Est,-0.13871994342291366
Growth 2yr High Est,0.04971721456345002
Growth 2yr Consensus Est,-0.04450136442973182
Growth 5yr Low Est,0.12875090921978513
Growth 5yr High Est,0.22473771753317562
Growth 5yr Consensus Est,0.1767443133764804
Growth 5yr Actual/Est,0.16448625727330773
Growth 3yr Historic,0.18469946303754115
Price/Earnings (TTM),10.00508
Price/Sales (TTM),0.48154
Price/Book (MRQ),
Price/Cash Flow (TTM),7.61463
5yr Low,12.54
5yr High,41.47
5yr Avg Return,0.07868333333333333
EPS Growth 5yr,0.1549912
Revenue Growth 5yr,0.0388444
Dividend Growth 5yr,0.1350469
Short Int Current Month,36247821.0
Short Int Prev Month,31907922.0
Short Int Pct of Float,0.0361
Days to Cover,4.20142
Float,1004.174
Shares Outstanding,1005.939
Institutions Holding Shares,1371.0
FCF Growth 5yr,0.4247964387450691
"Price/Earnings (TTM, GAAP)",10.01
"PEG Ratio (TTM, GAAP)",6.6
Gross Profit Margin (TTM),0.19579999999999997
Operating Profit Margin (TTM),0.0742
Net Profit Margin (TTM),0.0509
Annual Dividend Yield,0.0348
Dividend Change %,0.29
"Dividend Growth Rate, 3 Years",0.1604
EPS Growth (MRQ),-1.0019
EPS Growth (TTM),-0.4476
Revenue Growth (MRQ),0.009300000000000001
Revenue Growth (TTM),-0.0079
Return On Equity (TTM),
Return On Assets (TTM),0.083
Return On Investment (TTM),0.2919
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),1.3604
Change in Debt/Total Capital Quarter over Quarter,0.0047
Quick Ratio (MRQ),0.47
Interest Coverage (MRQ),11.04
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-11-03 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-05-24 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
