,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,116.09,98.14,,,,,
low,49.41,13.0,,,,,
change,0.34659999999999996,-0.8523999999999999,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,1521.0,1413.0,952.0,944.0,Balance Sheet
"Total Receivables, Net",,,515.0,684.0,691.0,665.0,Balance Sheet
Prepaid Expenses,,,148.0,198.0,173.0,214.0,Balance Sheet
Restricted Cash - Current,,,1050.0,0.0,0.0,0.0,Balance Sheet
Other Current Assets,,,2.0,2.0,2.0,1.0,Balance Sheet
"Other Curr. Assets, Total",,,1052.0,2.0,2.0,1.0,Balance Sheet
Total Current Assets,,,3235.0,2298.0,1817.0,1824.0,Balance Sheet
Prop./Plant/Equip. - Net,,,135.0,130.0,124.0,131.0,Balance Sheet
"Goodwill, Net",,,966.0,1585.0,1803.0,1763.0,Balance Sheet
Intangibles - Gross,,,2302.0,2729.0,2850.0,2815.0,Balance Sheet
Accum. Intangible Amort.,,,-593.0,-711.0,-821.0,-926.0,Balance Sheet
Intangibles - Net,,,1709.0,2018.0,2029.0,1889.0,Balance Sheet
Other Long Term Assets,,,118.0,136.0,158.0,198.0,Balance Sheet
Total Assets,,,6164.0,6167.0,5931.0,5805.0,Balance Sheet
Accounts Payable,,,258.0,370.0,283.0,262.0,Balance Sheet
Accrued Expenses,,,152.0,176.0,176.0,151.0,Balance Sheet
Notes Payable/ST Debt,,,17.0,8.0,7.0,7.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,26.0,30.0,33.0,33.0,Balance Sheet
Customer Advances,,,79.0,76.0,69.0,65.0,Balance Sheet
Other Current Liabilities,,,108.0,126.0,76.0,26.0,Balance Sheet
"Other Curr. Lblts, Total",,,187.0,202.0,145.0,91.0,Balance Sheet
Total Current Liabilities,,,640.0,785.0,645.0,544.0,Balance Sheet
Total Long Term Debt,,,3210.0,3196.0,3190.0,3184.0,Balance Sheet
Total Debt,,,3253.0,3233.0,3230.0,3224.0,Balance Sheet
Minority Interest,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,175.0,174.0,189.0,196.0,Balance Sheet
Total Liabilities,,,4025.0,4155.0,4024.0,3923.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,0.0,0.0,,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,3160.0,3163.0,3149.0,3112.0,Balance Sheet
